PlayerId;TeamId;FranchiseId;Games Played;Minutes Played;Wins;Losses;OT;Shots Against;Saves;Goals Against;Goals Against Average;Shutouts;Save Percentage;Game Rating
5257;70;70;6;361;2;2;2;172;152;20;3.32;0;.884;58
5372;69;69;6;345;2;3;1;170;151;19;3.30;1;.888;63
5492;117;117;2;68;0;1;0;38;34;4;3.51;0;.895;60
5551;108;108;2;34;0;0;0;21;19;2;3.51;0;.905;51
5651;107;107;1;21;0;0;0;16;13;3;8.39;0;.813;39
5655;117;117;7;360;3;3;0;217;187;30;5.00;0;.862;51
5786;105;105;2;27;0;0;0;13;12;1;2.22;0;.923;55
5966;89;89;3;110;0;1;1;71;62;9;4.91;0;.873;54
5976;94;94;4;243;0;3;1;165;145;20;4.93;0;.879;60
5987;103;103;1;30;0;0;0;18;16;2;3.89;0;.889;53
6077;65;65;2;23;0;0;0;11;10;1;2.57;0;.909;50
6087;80;80;10;636;5;4;1;293;266;27;2.54;1;.908;65
6248;107;107;4;218;0;4;0;180;155;25;6.87;0;.861;51
6250;116;116;3;33;0;2;0;23;19;4;7.24;0;.826;45
6311;120;120;15;798;11;2;0;402;361;41;3.08;2;.898;64
6319;121;121;3;80;0;1;0;63;55;8;5.97;0;.873;53
6326;116;116;4;206;0;2;0;146;125;21;6.09;0;.856;53
6367;90;90;6;254;1;3;0;140;125;15;3.53;0;.893;56
6401;88;88;2;62;0;1;0;27;21;6;5.77;0;.778;40
6418;92;92;13;728;7;5;1;359;320;39;3.21;2;.891;62
6579;87;87;21;1270;16;3;2;539;485;54;2.55;3;.900;64
6593;103;103;5;270;1;4;0;164;143;21;4.66;0;.872;50
6631;98;98;6;366;2;4;0;164;142;22;3.60;0;.866;53
6664;66;66;6;356;2;4;0;219;194;25;4.21;0;.886;57
6701;76;76;5;253;2;3;0;121;106;15;3.55;0;.876;56
6720;68;68;6;263;3;2;0;126;119;7;1.60;1;.944;71
6735;79;79;4;242;0;3;1;170;150;20;4.96;0;.882;61
6799;73;73;17;1062;16;1;0;395;353;42;2.37;0;.894;64
6840;82;82;2;150;0;1;1;92;82;10;3.99;0;.891;60
6916;78;78;6;308;4;1;0;162;152;10;1.94;0;.938;75
6921;82;82;4;187;1;2;0;113;101;12;3.84;0;.894;65
7050;118;118;5;245;1;3;0;163;144;19;4.64;0;.883;62
7063;106;106;12;740;7;3;2;403;357;46;3.73;0;.886;65
7095;108;108;18;1078;11;6;1;609;544;65;3.62;1;.893;67
7109;115;115;9;399;3;2;2;242;210;32;4.81;0;.868;53
7141;120;120;10;409;5;2;0;192;167;25;3.66;0;.870;54
7145;105;105;5;283;1;3;1;183;157;26;5.50;0;.858;52
7160;112;112;6;374;2;3;1;212;191;21;3.37;0;.901;66
7192;104;104;21;1163;13;6;0;505;441;64;3.30;1;.873;55
7251;110;110;5;311;1;3;1;187;173;14;2.70;1;.925;79
7501;62;62;7;376;2;4;1;237;209;28;4.47;0;.882;58
7528;74;74;13;804;9;3;1;384;342;42;3.13;0;.891;62
7575;81;81;23;1392;12;7;4;667;598;69;2.97;1;.897;62
7655;104;104;4;95;1;1;0;55;45;10;6.29;0;.818;42
7673;113;113;4;137;0;2;0;89;73;16;6.97;0;.820;41
7678;119;119;1;12;0;0;0;12;9;3;14.96;0;.750;36
7787;97;97;12;720;7;4;1;283;245;38;3.16;1;.866;57
7801;84;84;2;73;0;1;0;49;39;10;8.11;0;.796;32
7964;88;88;4;177;0;3;0;125;111;14;4.73;0;.888;56
8043;91;91;3;141;1;2;0;65;55;10;4.25;1;.846;53
8179;68;68;7;426;2;3;1;265;244;21;2.95;0;.921;71
8206;81;81;2;44;0;0;0;28;25;3;4.09;0;.893;55
8364;83;83;7;374;3;2;1;216;192;24;3.84;0;.889;59
8390;66;66;1;2;0;0;0;0;0;0;0.00;0;.000;48
8395;65;65;4;215;0;4;0;139;118;21;5.84;0;.849;43
8515;118;118;8;486;5;3;0;258;229;29;3.57;0;.888;63
8628;121;121;9;471;4;4;0;241;211;30;3.82;0;.876;54
8676;119;119;6;348;2;3;1;220;197;23;3.96;0;.895;63
8685;113;113;9;521;5;4;0;247;212;35;4.03;0;.858;51
8881;102;102;1;23;0;0;0;21;20;1;2.53;0;.952;71
8927;63;63;10;625;5;4;1;285;250;35;3.36;0;.877;54
9106;115;115;10;578;5;2;2;303;269;34;3.53;0;.888;58
9400;92;92;2;63;0;0;0;30;27;3;2.84;0;.900;53
9413;96;96;21;1276;15;5;1;621;557;64;3.01;0;.897;63
9426;102;102;10;558;6;3;0;318;290;28;3.01;1;.912;66
9564;76;76;2;104;0;1;0;62;57;5;2.88;0;.919;74
9912;109;109;3;118;0;1;1;96;83;13;6.57;0;.865;46
10008;109;109;3;146;0;2;0;122;109;13;5.33;0;.893;61
