League Id;Team Id;Conf Id;Div Id;Wins;Losses;Ties;OTL;Shootout Wins;Shootout Losses;Points;Goals For;Goals Against;PCT
3;70;0;0;38;25;0;3;4;2;81;251;218;.596
3;71;0;1;24;41;0;0;2;3;51;204;278;.375
3;72;0;1;24;38;0;4;1;2;54;203;264;.397
3;73;0;1;47;15;0;1;5;5;100;310;191;.735
3;74;1;0;44;17;0;3;3;4;95;286;198;.699
3;75;1;0;26;40;0;1;5;1;54;190;261;.397
3;76;1;0;33;27;0;1;1;7;74;252;254;.544
3;77;1;0;27;39;0;1;7;1;56;190;278;.412
3;78;1;0;28;35;0;2;3;3;61;209;238;.449
3;79;1;1;25;37;0;3;1;3;56;219;266;.412
3;80;1;1;30;32;0;2;2;4;66;217;238;.485
3;81;1;1;37;27;0;1;5;3;78;273;250;.574
3;82;1;1;41;20;0;2;4;5;89;267;244;.654
3;83;1;1;33;29;0;2;2;4;72;244;261;.529
4;104;1;1;52;12;0;1;4;3;108;344;201;.794
4;105;1;1;23;36;0;5;2;4;55;207;285;.404
4;106;1;1;40;23;0;2;2;3;85;287;224;.625
4;107;1;1;21;45;0;1;3;1;44;217;340;.324
4;108;1;0;41;16;0;6;4;5;93;315;269;.684
4;109;1;0;22;39;0;2;1;5;51;227;316;.375
4;110;1;0;31;34;0;0;5;3;65;241;297;.478
4;111;0;1;29;36;0;0;4;3;61;249;274;.449
4;112;0;1;37;24;0;2;6;5;81;265;241;.596
4;113;0;1;46;21;0;1;4;0;93;319;240;.684
4;114;0;1;22;37;0;3;0;6;53;237;277;.390
4;115;0;0;38;24;0;1;2;5;82;317;233;.603
4;116;0;0;30;34;0;2;3;2;64;238;312;.471
4;117;0;0;34;28;0;4;7;2;74;273;297;.544
4;118;0;0;39;26;0;0;2;3;81;270;259;.596
4;119;0;0;32;35;0;0;0;1;65;266;281;.478
4;120;0;0;46;20;0;0;2;2;94;328;214;.691
4;121;1;0;29;35;0;2;4;2;62;241;281;.456
