PlayerId;TeamId;FranchiseId;GP;G;A;+/-;PIM;PP G;PP A;SH G;SH A;Fights;Fights_Won;HIT;GvA;TkA;SB;GR;Game Rating Off;Game Rating Def;SOG;TOI;PPTOI;SHTOI;PDO;GF/60;GA/60;SF/60;SA/60;CF;CA;CF%;CF% rel;FF;FA;FF%;FF% rel;GWG;FO;FOW
45;30;30;81;9;17;4;46;0;0;0;1;0;0;93;15;21;25;55;56;51;83;57704;95;6287;100.0;3.0;2.9;33.8;32.3;1011;950;51.6;0.7;751;716;51.2;0.4;1;871;440
48;26;26;75;8;20;-5;8;1;0;0;0;0;0;48;16;15;36;54;57;51;109;55323;292;177;100.8;3.1;3.4;32.3;37.9;908;1087;45.5;-1.9;683;812;45.7;-2.0;1;129;61
51;20;20;79;13;35;0;20;1;1;0;2;0;0;121;26;19;122;67;60;73;158;84448;854;5842;102.0;3.1;3.2;28.7;36.2;1217;1491;44.9;0.6;916;1127;44.8;0.1;2;0;0
55;49;49;58;5;14;-2;34;0;0;0;0;0;0;26;10;24;18;55;54;55;47;31839;161;10192;100.7;2.5;2.9;24.6;31.3;416;556;42.8;-6.9;307;425;41.9;-8.5;0;83;30
58;15;15;82;10;10;-8;22;0;0;0;1;0;0;74;13;15;14;52;54;49;64;46035;219;4125;98.4;2.2;2.9;28.3;31.0;663;737;47.4;-9.2;492;544;47.5;-9.7;3;72;36
61;41;41;57;12;8;-5;32;4;4;0;0;0;0;53;19;19;25;62;60;61;112;44353;5993;2741;98.0;2.0;2.4;32.7;28.6;748;637;54.0;6.2;544;484;52.9;4.1;2;686;325
65;8;8;79;15;35;-22;39;4;14;1;0;1;0;48;19;16;61;64;69;57;172;74950;11572;4375;99.3;2.6;3.4;31.6;37.6;1206;1415;46.0;4.0;930;1057;46.8;5.0;3;257;148
70;53;53;70;7;18;15;24;0;1;2;2;0;0;57;13;28;156;64;52;74;103;67927;2834;9601;100.8;2.6;2.1;30.7;27.0;1057;971;52.1;-1.1;798;710;52.9;-0.4;0;0;0
72;26;26;78;21;39;-13;18;7;10;0;2;0;0;86;36;32;48;69;75;65;273;74749;13145;4425;98.1;2.6;3.1;36.0;33.7;1326;1254;51.4;6.0;1011;930;52.1;6.8;2;135;55
74;23;23;73;5;26;-8;33;0;1;1;1;0;0;97;12;32;84;66;58;72;142;84891;1582;5891;99.0;2.6;3.1;31.1;33.0;1367;1424;49.0;-2.3;1008;1074;48.4;-2.9;3;0;0
81;30;30;53;3;9;9;6;0;0;1;1;0;0;77;6;2;7;53;55;49;27;23973;335;2883;104.6;3.5;2.4;29.0;32.9;357;401;47.1;-4.6;264;300;46.8;-5.1;0;49;28
82;30;30;74;7;19;-8;30;6;2;0;1;0;0;37;4;12;27;55;57;53;82;35148;6722;718;98.0;2.6;3.5;32.2;35.1;576;649;47.0;-4.2;434;491;46.9;-4.0;1;606;323
83;16;16;8;0;2;0;0;0;0;0;0;0;0;17;2;5;16;65;60;68;13;8048;635;550;104.7;3.6;3.1;26.4;35.3;113;147;43.5;-10.6;78;109;41.7;-11.9;0;0;0
87;36;36;58;2;15;16;20;0;0;0;1;0;0;68;14;40;103;58;52;63;66;53590;1558;7321;100.0;3.2;2.1;34.0;22.8;916;625;59.4;1.1;683;457;59.9;1.4;0;0;0
88;23;23;65;9;7;-6;34;0;1;0;0;0;0;38;7;4;12;55;58;50;64;31847;737;1393;99.2;2.0;2.7;30.6;36.3;512;575;47.1;-3.3;381;428;47.1;-3.2;2;290;159
90;21;21;66;17;16;12;60;2;3;0;0;0;0;129;30;8;36;56;61;49;131;48473;4188;2471;103.2;3.2;2.2;34.5;36.8;837;897;48.3;0.4;630;665;48.6;0.4;2;81;34
91;0;0;85;11;20;-13;20;2;5;1;0;0;0;34;11;23;52;57;58;55;114;52093;8118;922;99.2;2.2;3.1;29.4;37.5;792;1010;44.0;-3.8;566;752;42.9;-4.9;2;62;26
92;21;21;81;15;40;11;24;2;8;0;0;0;0;106;31;38;174;71;68;71;248;93735;16758;4615;100.8;3.1;2.5;34.0;30.3;1610;1487;52.0;4.7;1195;1084;52.4;4.6;1;0;0
98;10;10;82;16;21;38;42;0;0;0;0;0;0;102;18;50;24;64;58;65;171;78355;1883;9933;101.0;3.6;1.8;38.7;21.7;1530;853;64.2;1.9;1149;660;63.5;1.8;6;1237;606
102;3;3;55;5;13;-9;22;0;0;0;1;0;0;58;14;13;105;61;55;66;69;50768;240;3548;99.8;2.5;3.2;30.1;37.8;780;943;45.3;-0.0;586;706;45.4;0.3;3;0;0
104;23;23;54;6;8;11;12;0;0;0;0;0;0;41;7;14;35;57;56;57;106;50923;258;4948;102.2;3.0;2.3;34.4;35.3;906;910;49.9;2.1;691;680;50.4;2.4;1;0;0
106;27;27;17;1;2;-2;14;0;0;0;1;0;0;9;2;4;9;55;56;52;17;8938;0;1992;96.2;2.0;3.2;31.4;31.4;136;166;45.0;-9.9;102;122;45.5;-8.4;0;15;4
110;9;9;80;22;36;-15;28;7;10;0;1;0;0;74;15;40;49;63;67;58;169;63651;10658;1139;100.2;2.7;3.6;30.3;40.4;1004;1282;43.9;-4.3;731;970;43.0;-5.5;5;948;472
111;2;2;81;26;35;21;90;3;6;0;0;1;0;107;29;32;64;68;69;66;257;76872;18118;2577;101.8;3.6;2.4;38.1;31.8;1487;1271;53.9;3.4;1100;934;54.1;3.0;4;43;17
115;26;26;79;20;23;-27;27;2;2;0;0;1;1;134;30;14;27;58;65;50;189;72291;6153;896;97.4;2.4;3.6;32.5;36.5;1230;1342;47.8;0.5;915;1014;47.4;-0.3;1;86;44
116;29;29;75;9;15;25;56;0;0;1;0;0;0;75;11;19;201;66;62;69;104;68417;1120;4502;103.5;4.1;2.8;34.7;34.7;1179;1228;49.0;0.6;860;887;49.2;0.7;1;0;0
120;39;39;26;3;9;20;27;0;0;0;0;0;0;37;3;16;31;62;54;70;51;23431;145;4844;104.3;4.3;1.2;41.3;20.3;495;253;66.2;1.7;373;185;66.8;3.0;0;0;0
121;0;0;80;6;16;-4;83;0;0;0;0;3;0;115;23;27;115;52;49;54;117;79870;783;7868;99.7;2.5;2.7;31.4;32.9;1316;1405;48.4;-0.2;966;1049;47.9;-0.2;3;0;0
123;8;8;82;16;16;-12;24;1;0;1;1;0;0;156;27;36;37;60;62;55;140;67603;5301;10669;99.0;2.5;3.2;32.2;36.3;1095;1235;47.0;4.7;820;910;47.4;5.1;1;460;220
126;10;10;73;14;31;24;14;0;3;0;0;0;0;50;15;33;32;65;67;60;196;73859;4181;903;98.8;2.9;1.7;41.9;21.0;1607;765;67.7;6.1;1180;583;66.9;5.8;2;1055;602
127;1;1;76;8;17;-4;38;1;3;0;0;0;0;70;7;21;54;55;58;51;107;57550;5446;173;101.7;2.4;2.6;28.0;37.4;854;1104;43.6;-5.2;626;819;43.3;-5.4;1;31;12
128;1;1;82;14;17;-1;16;1;2;0;0;0;0;47;14;11;18;58;60;54;137;52114;7191;501;101.0;2.3;2.4;29.6;34.9;825;957;46.3;-1.6;598;695;46.2;-1.4;0;7;4
129;14;14;75;15;15;2;16;0;1;0;0;0;0;44;12;12;13;53;57;50;89;36683;1598;1473;103.2;4.1;3.9;32.4;41.1;588;723;44.9;-4.1;436;541;44.6;-4.7;3;53;28
130;3;3;82;22;26;-14;40;5;5;1;1;0;0;148;23;10;33;58;62;52;194;74334;10920;1459;99.2;2.5;3.1;30.2;35.3;1152;1311;46.8;1.7;861;1011;46.0;0.5;2;10;4
131;21;21;75;13;23;-5;24;0;0;1;1;0;0;78;29;31;51;58;62;52;132;72072;0;9580;97.2;2.5;2.9;31.2;27.0;1175;1051;52.8;4.9;859;749;53.4;5.0;4;92;55
135;17;17;68;10;3;0;24;0;0;0;0;0;0;24;7;3;15;52;55;50;67;29201;1310;993;101.3;2.6;2.6;29.5;34.8;440;526;45.5;-6.5;321;403;44.3;-7.6;3;42;21
138;30;30;54;19;40;26;34;4;12;2;0;0;0;70;18;29;97;69;71;66;208;58891;10377;8092;101.7;3.8;2.3;37.0;27.2;1106;807;57.8;10.9;840;612;57.9;11.4;4;0;0
146;48;48;5;0;1;1;14;0;0;0;0;2;1;5;1;0;1;53;53;50;4;1781;0;694;106.7;2.0;0.0;30.3;30.3;26;26;50.0;3.9;23;18;56.1;8.4;0;11;2
150;51;51;58;3;14;-5;164;0;0;0;0;8;2;166;19;23;141;61;50;71;58;54081;873;7114;101.4;3.0;3.3;25.6;32.4;709;897;44.1;-0.7;507;655;43.6;0.0;0;2;1
151;53;53;23;4;4;-3;4;1;0;1;0;0;0;38;2;12;37;62;49;72;25;20670;253;1891;97.8;1.6;2.3;27.2;28.6;333;301;52.5;4.1;240;223;51.8;3.2;1;0;0
153;11;11;80;4;7;-17;36;0;1;0;1;0;0;47;9;10;16;53;54;51;54;38377;1441;1235;97.9;1.6;3.3;25.6;39.6;543;774;41.2;-4.0;397;583;40.5;-4.8;0;550;273
157;7;7;75;22;26;-2;36;7;8;0;0;0;0;98;31;31;40;73;70;71;190;71456;15707;1662;99.2;2.9;2.7;34.6;29.4;1271;1074;54.2;5.1;940;806;53.8;3.9;5;1367;739
161;11;11;81;30;32;-12;42;11;9;0;0;0;0;89;38;18;114;64;71;57;261;78593;11528;2722;100.2;3.2;3.7;33.2;39.3;1250;1545;44.7;-0.1;927;1132;45.0;0.4;0;70;35
165;29;29;54;9;18;13;16;0;0;0;1;0;0;55;9;15;103;57;56;57;83;52970;288;8703;102.9;3.9;3.1;33.2;34.1;859;962;47.2;-0.2;656;687;48.8;2.4;0;0;0
170;12;12;40;12;4;-13;4;0;3;0;0;0;0;39;3;7;4;57;61;52;76;19141;2510;247;94.1;2.8;5.1;37.8;38.0;353;353;50.0;-4.2;264;262;50.2;-3.5;0;290;139
171;43;30;14;5;7;4;32;0;0;0;0;0;0;20;1;2;5;60;64;54;16;10551;1265;271;105.8;4.8;3.1;29.0;28.7;156;170;47.9;0.3;117;123;48.8;0.7;0;154;78
172;51;22;32;8;18;-2;10;1;2;0;1;0;0;39;8;7;14;59;62;53;43;27347;2319;2313;101.7;3.2;3.3;24.7;29.6;358;413;46.4;2.9;273;310;46.8;4.0;0;285;133
174;45;29;11;4;1;-1;20;0;0;1;0;0;0;15;1;4;29;61;59;64;17;10022;158;1544;98.9;2.5;3.2;25.1;29.1;145;159;47.7;0.8;107;113;48.6;3.1;1;0;0
175;26;26;44;1;20;-16;6;0;0;0;1;0;0;39;5;25;56;61;55;66;37;42491;44;2660;97.4;2.7;4.2;31.4;37.9;685;813;45.7;-3.8;519;612;45.9;-4.3;0;0;0
178;0;0;46;5;12;7;4;1;1;0;0;0;0;25;8;9;10;54;58;50;60;28212;954;828;104.0;2.6;1.7;29.3;35.2;439;494;47.1;-2.1;320;383;45.5;-3.2;0;14;4
179;1;1;77;33;31;-11;22;7;7;0;1;0;0;89;25;29;38;63;65;61;216;69614;13768;1050;98.9;2.9;3.5;32.6;34.1;1159;1164;49.9;2.8;854;880;49.3;2.3;5;1138;635
182;28;28;79;12;26;18;40;0;0;1;1;0;0;60;17;34;10;57;56;55;86;63481;154;10329;101.4;3.2;2.3;35.3;30.1;1107;947;53.9;1.0;843;717;54.0;0.9;3;1076;575
184;58;1;46;4;8;-3;24;0;0;0;0;0;0;10;8;16;40;56;56;55;43;24690;1136;2249;99.4;3.1;3.5;28.9;31.3;350;445;44.0;-2.3;267;318;45.6;-1.0;0;121;63
187;5;5;72;11;19;6;14;2;3;0;0;0;0;40;4;18;41;59;62;53;99;51146;5195;633;99.7;3.4;3.0;35.1;29.1;922;822;52.9;-0.1;673;573;54.0;1.1;2;40;19
188;0;0;49;4;24;21;31;0;0;1;1;1;0;86;13;10;15;53;51;53;94;52399;248;5355;103.6;3.8;2.4;34.0;32.2;901;893;50.2;1.5;667;647;50.8;3.0;1;0;0
190;40;40;67;3;39;13;41;0;14;0;0;0;0;64;21;14;53;72;67;75;127;65318;10736;7543;102.4;3.0;2.1;28.3;26.3;982;886;52.6;5.1;726;650;52.8;5.0;1;0;0
194;18;18;62;19;17;-1;14;1;1;0;0;0;0;40;15;9;16;54;60;48;108;46125;3741;111;101.0;4.1;4.1;33.1;36.6;763;841;47.6;-6.9;574;643;47.2;-6.7;2;10;3
196;10;10;64;3;12;32;14;0;0;0;1;0;0;57;10;21;54;61;52;69;70;62095;476;6646;101.5;3.6;1.8;38.4;22.8;1295;720;64.3;1.8;954;549;63.5;1.2;0;0;0
198;25;25;66;13;5;-8;4;2;4;0;0;0;0;63;12;7;35;55;57;51;106;35167;5165;3164;97.8;2.3;3.1;30.2;31.7;527;595;47.0;-5.2;415;432;49.0;-2.8;1;26;9
199;21;21;72;11;22;-1;36;0;0;2;0;0;0;118;21;56;41;61;58;59;118;76426;537;9760;97.8;2.4;2.6;32.6;26.7;1282;1091;54.0;6.7;951;781;54.9;7.5;2;1393;750
200;8;8;73;6;13;-14;19;2;0;0;0;1;0;75;13;7;19;52;55;50;50;42569;688;1014;99.6;2.2;3.4;26.8;39.2;608;858;41.5;-3.3;434;615;41.4;-3.5;0;651;339
201;10;10;79;10;14;11;80;0;1;1;0;0;0;111;16;63;128;67;55;77;166;91988;4638;9439;97.4;2.5;2.0;37.2;21.9;1734;1050;62.3;-1.1;1262;784;61.7;-1.2;0;0;0
202;4;4;82;8;14;4;30;0;0;0;1;0;0;128;22;31;174;56;50;61;135;78750;197;10201;99.8;3.2;3.1;34.7;32.9;1396;1262;52.5;0.7;1033;962;51.8;-0.1;0;0;0
204;1;1;80;7;30;4;24;0;0;0;0;0;0;68;17;29;110;67;62;70;139;83432;2109;5875;101.5;3.1;2.9;31.5;35.3;1377;1469;48.4;1.3;1020;1091;48.3;1.5;1;1;1
206;26;26;80;14;37;-5;38;6;3;2;4;0;0;187;21;22;24;68;69;60;169;79176;12439;6784;98.7;2.5;2.8;34.5;32.5;1356;1315;50.8;4.9;1028;975;51.3;5.4;1;1488;819
207;26;26;74;9;16;-17;38;0;0;1;0;0;0;54;24;34;236;73;61;82;183;86564;743;5125;97.7;2.4;3.2;34.2;34.4;1529;1500;50.5;4.2;1140;1113;50.6;4.1;1;0;0
209;2;2;80;44;38;21;38;18;10;1;0;0;0;179;32;36;51;68;74;59;292;80676;17900;10131;100.8;3.3;2.3;36.3;27.1;1454;1167;55.5;5.2;1117;853;56.7;6.6;8;281;153
210;24;24;81;5;20;41;38;0;0;0;1;0;0;202;16;39;125;57;53;60;120;85800;876;12314;101.9;3.9;2.2;37.7;26.5;1627;1205;57.5;5.3;1217;869;58.3;5.9;0;0;0
213;17;17;80;12;38;-5;26;2;4;0;0;0;0;96;19;18;65;65;69;58;187;77882;9915;1017;99.7;2.9;3.1;31.9;32.5;1269;1291;49.6;-2.5;951;968;49.6;-2.1;3;109;49
214;2;2;77;2;14;-15;20;0;1;0;0;0;0;30;14;16;35;55;57;52;100;54219;3153;159;97.1;2.0;2.9;32.4;32.2;922;926;49.9;-2.8;673;687;49.5;-3.9;0;66;31
216;6;6;78;19;14;17;18;0;3;0;0;0;0;54;12;12;41;54;56;51;89;50171;2889;84;107.1;3.5;2.3;27.6;40.8;710;1072;39.8;-7.5;515;796;39.3;-8.2;3;24;5
217;16;16;78;7;17;2;32;0;1;0;0;0;0;122;19;39;186;56;52;58;97;74360;802;10904;100.4;2.9;2.8;30.8;31.8;1160;1191;49.3;-2.0;869;879;49.7;-1.8;3;0;0
218;27;27;82;25;58;1;64;10;20;0;0;0;0;137;19;50;115;70;72;66;239;85990;16328;6463;99.8;2.8;2.7;34.6;32.3;1528;1439;51.5;4.4;1137;1055;51.9;5.0;3;1720;830
220;2;2;79;31;25;17;20;4;5;0;0;0;0;86;37;26;45;56;60;51;195;72259;5732;28;100.7;3.4;2.6;37.6;30.8;1380;1179;53.9;3.2;1010;856;54.1;3.1;4;75;34
222;8;8;74;16;10;-8;14;0;0;0;0;0;0;46;17;18;21;53;56;49;67;38915;499;1177;102.6;3.4;4.2;25.0;37.5;508;782;39.4;-5.1;369;548;40.2;-4.1;1;56;29
223;7;7;77;35;31;16;36;12;12;0;0;0;0;161;18;23;41;67;70;63;291;78176;15561;2886;100.7;3.1;2.2;37.5;28.4;1502;1192;55.8;4.0;1112;873;56.0;3.0;3;1514;802
225;21;21;77;19;32;1;35;5;5;0;0;0;0;102;28;11;45;60;65;56;164;61374;5602;304;101.6;3.5;3.3;33.8;38.9;1013;1182;46.2;-3.9;750;886;45.8;-4.9;2;22;10
226;8;8;31;3;8;-5;4;0;1;0;0;0;0;30;6;7;56;61;60;60;47;29078;164;1741;100.6;2.7;3.3;31.2;41.0;436;565;43.6;0.9;337;422;44.4;1.3;0;0;0
236;59;59;47;6;4;-1;143;0;0;0;1;6;1;143;10;7;24;56;55;54;43;29214;391;3324;101.0;2.1;2.2;26.2;31.8;394;486;44.8;-1.9;286;359;44.3;-2.8;0;360;180
237;26;26;77;9;29;-7;36;1;2;1;2;0;0;124;14;41;284;59;57;59;172;86552;2155;7877;99.6;2.7;3.2;32.5;36.8;1453;1587;47.8;0.8;1099;1182;48.2;1.2;1;0;0
244;56;56;2;0;1;0;0;0;0;0;0;0;0;1;0;1;3;59;55;61;5;1814;0;92;100.0;4.0;4.0;39.7;39.7;28;36;43.8;7.8;24;27;47.1;8.1;0;0;0
248;4;4;82;17;20;5;16;1;0;0;0;0;0;55;19;7;36;56;58;53;135;52291;2140;159;102.5;3.1;2.8;30.7;36.3;750;981;43.3;-10.9;574;717;44.5;-9.3;1;51;27
252;43;30;44;2;5;4;26;0;0;0;0;0;0;114;8;25;97;62;51;72;47;42679;626;7857;98.3;2.6;2.4;34.8;25.5;725;556;56.6;6.5;558;408;57.8;7.3;0;0;0
255;61;61;36;2;8;-10;22;0;3;2;0;0;0;37;19;12;57;62;56;67;58;32570;2746;2998;97.3;1.2;2.4;24.4;31.7;417;547;43.3;-1.9;310;395;44.0;-1.1;0;6;2
257;25;25;72;5;13;-29;34;0;0;1;1;0;0;101;15;18;132;62;54;67;92;75035;691;7282;96.4;2.3;3.7;31.5;34.9;1162;1336;46.5;2.2;882;1000;46.9;3.0;1;0;0
258;10;10;78;11;18;30;30;0;0;0;0;0;0;105;16;26;40;56;58;53;122;58627;298;4166;101.0;3.4;1.8;36.9;21.4;1135;661;63.2;0.2;829;494;62.7;0.1;2;26;8
262;38;28;68;27;24;16;42;5;7;0;0;0;0;95;17;6;11;60;64;56;169;47233;12243;732;101.8;3.8;2.5;34.2;26.9;797;635;55.7;-0.1;615;481;56.1;0.7;2;114;59
265;31;31;47;1;20;-25;22;0;2;0;0;0;0;50;13;13;108;68;61;73;58;43886;4728;3923;96.5;1.9;3.9;23.5;34.3;541;747;42.0;-4.4;395;564;41.2;-5.4;0;0;0
266;42;42;3;2;1;1;0;0;0;0;0;0;0;7;0;0;2;59;66;48;5;1626;0;479;96.7;6.6;4.4;39.9;22.1;27;19;58.7;2.2;21;12;63.6;4.4;0;8;7
267;19;19;60;8;6;4;10;0;0;0;0;0;0;21;5;6;20;52;55;49;40;27211;253;179;104.1;3.0;2.5;29.0;39.2;402;530;43.1;-3.4;297;402;42.5;-3.3;2;46;29
272;0;0;81;14;19;-2;36;0;2;0;1;0;0;176;26;18;21;56;59;52;163;63238;5096;6483;100.1;2.7;3.0;31.4;34.6;1072;1120;48.9;0.5;798;841;48.7;0.8;2;151;51
273;50;50;61;6;21;4;136;0;0;1;1;13;7;124;10;18;17;58;59;53;60;37336;220;5444;99.2;2.9;2.6;31.7;26.2;605;506;54.5;-4.4;442;376;54.0;-4.1;0;389;171
274;11;11;75;24;21;-7;22;1;5;0;0;0;0;37;26;20;51;59;63;56;129;57605;4256;463;100.5;2.8;3.2;29.4;35.4;875;1073;44.9;0.6;650;798;44.9;0.4;3;12;7
275;24;24;82;19;21;26;45;1;2;0;0;0;0;112;26;15;54;59;61;54;162;60697;6578;12463;103.1;3.9;2.2;37.7;30.7;1117;954;53.9;0.0;837;714;54.0;-0.5;6;334;131
278;39;39;63;9;9;12;33;0;0;1;1;1;1;149;23;14;24;59;62;52;98;43804;338;6537;98.4;2.8;2.0;39.0;22.6;921;502;64.7;2.5;671;378;64.0;2.7;2;51;27
279;12;12;79;9;24;23;20;0;0;0;0;0;0;96;16;31;59;58;61;54;141;76419;158;10691;100.3;3.3;2.3;37.5;26.1;1440;1072;57.3;6.3;1075;789;57.7;7.4;2;300;133
283;40;40;65;13;25;26;36;1;3;0;2;2;0;96;30;36;128;69;64;72;172;63629;3719;10044;102.4;3.4;2.1;32.5;26.1;1017;860;54.2;7.1;787;621;55.9;9.1;2;0;0
284;26;26;9;0;0;-7;4;0;0;0;0;0;0;14;2;2;13;51;49;52;2;8247;0;596;93.6;0.9;3.9;25.8;40.2;126;157;44.5;-6.9;91;124;42.3;-11.1;0;0;0
286;33;33;65;7;18;-9;173;0;2;2;0;17;6;135;26;27;18;56;57;53;104;54074;3968;9026;94.8;2.3;3.1;33.3;25.2;927;678;57.8;3.3;698;506;58.0;2.8;1;208;105
287;1;1;70;9;32;4;24;3;8;0;0;0;0;102;12;16;122;64;67;59;168;77748;12689;4470;101.5;3.1;2.9;31.3;34.1;1241;1350;47.9;-0.6;925;1002;48.0;-0.1;1;0;0
289;11;11;66;8;19;14;21;0;0;0;0;1;0;104;13;11;37;59;61;55;92;48010;123;9439;103.3;3.9;2.8;32.8;33.0;779;824;48.6;3.8;599;611;49.5;4.8;1;313;138
290;28;28;82;25;66;22;42;8;27;0;0;0;0;95;30;18;44;68;75;65;310;79146;16088;118;101.0;3.3;2.1;38.6;28.6;1544;1149;57.3;6.3;1153;865;57.1;5.7;3;1640;815
291;25;25;70;7;25;-6;32;0;2;0;3;0;0;97;17;45;71;56;51;60;155;80958;1623;9476;97.5;2.7;3.1;33.8;29.5;1425;1204;54.2;4.3;1062;904;54.0;4.2;1;0;0
292;7;7;78;16;17;-14;24;1;3;0;3;0;0;93;12;27;32;57;58;53;116;49359;7532;5032;98.3;2.3;3.5;27.6;34.3;691;874;44.2;-7.8;531;635;45.5;-6.6;2;800;418
293;56;12;26;4;2;2;109;0;0;0;0;5;3;104;14;3;12;57;56;54;32;21831;11;1677;101.4;1.6;1.3;26.1;26.7;292;313;48.3;5.9;219;233;48.5;6.5;0;42;13
294;19;19;76;23;21;-8;36;2;8;0;0;0;0;102;19;15;44;60;67;52;184;68345;9130;100;99.1;2.7;3.1;34.4;34.7;1228;1164;51.3;-1.8;881;885;49.9;-3.5;5;12;4
296;18;18;80;11;13;11;66;0;0;1;2;2;0;224;14;8;27;57;58;53;72;49041;347;8303;101.3;3.0;2.5;30.3;29.0;789;767;50.7;-2.9;584;562;51.0;-2.3;0;716;382
297;24;24;69;14;9;10;26;2;0;1;0;0;0;58;15;15;35;56;58;53;83;37068;853;8648;103.9;3.6;2.7;31.7;36.4;600;655;47.8;-7.3;433;495;46.7;-9.2;3;36;13
298;49;49;76;27;38;26;52;5;10;0;3;0;0;105;34;34;25;62;63;59;191;64856;13290;9418;103.2;3.3;2.0;31.1;26.6;1022;903;53.1;4.6;773;682;53.1;4.3;4;1289;574
299;41;41;31;3;7;-3;14;1;2;0;0;0;0;23;3;12;6;57;59;54;35;21981;1902;2679;100.7;2.5;2.9;27.2;35.2;329;378;46.5;-1.6;235;290;44.8;-4.0;2;17;7
300;18;18;81;11;34;34;44;1;0;1;4;0;0;133;15;32;66;63;63;63;277;92883;4139;9227;99.5;3.6;2.4;37.9;24.7;1818;1185;60.5;11.5;1329;888;59.9;11.0;2;0;0
302;44;44;58;5;8;-8;24;2;0;0;0;0;0;72;20;20;152;60;56;61;81;56737;3533;6781;97.2;2.0;2.6;30.6;28.2;878;768;53.3;3.8;655;572;53.4;4.3;0;1;1
303;0;0;77;21;45;-10;31;10;16;0;0;0;0;129;19;25;57;67;68;63;242;78855;12815;3359;98.3;2.9;3.2;34.1;31.6;1368;1344;50.4;2.4;1011;971;51.0;4.0;5;1483;801
304;18;18;75;16;25;12;26;0;0;1;3;0;0;166;9;14;53;60;62;54;99;55664;330;9454;101.9;3.4;2.7;32.3;32.0;896;933;49.0;-3.0;662;688;49.0;-2.6;4;810;424
305;52;52;66;5;17;12;44;0;1;1;0;0;0;129;18;47;236;71;52;86;103;67850;1856;11450;100.2;2.8;2.2;30.3;24.4;1038;877;54.2;0.8;772;637;54.8;2.0;1;0;0
307;4;4;63;14;13;6;12;0;0;0;3;0;0;51;23;17;15;56;59;52;97;40930;65;6791;100.6;3.6;3.3;34.3;32.7;695;658;51.4;-1.3;517;504;50.6;-1.6;4;44;19
308;20;20;66;4;14;-7;36;0;1;1;2;0;0;122;14;24;150;60;52;66;66;62497;215;7306;100.3;2.6;3.2;28.9;36.6;925;1125;45.1;-1.7;682;841;44.8;-2.4;1;0;0
