Game Id;Period;Time;Scorer;Assist 1;Assist 2;TeamId;Note
23028;2;353;2952;5172;1711;1;ES
23028;2;1029;1392;2938;;11;ES
23028;2;1045;323;1428;2264;11;ES
23028;2;1187;560;918;;1;ES
23028;3;434;867;161;1403;11;ES
23027;1;96;1284;739;216;27;ES
23027;1;844;841;721;616;19;PP
23027;1;1040;841;616;721;19;ES
23027;2;788;671;1412;739;27;ES
23027;2;1057;1292;1017;721;19;ES
23027;3;180;616;721;1017;19;PP
23034;1;737;473;539;975;12;ES
23034;2;58;314;665;279;12;ES
23034;2;530;416;1317;2366;17;SH
23034;2;842;2491;2479;539;12;ES
23034;2;1100;1331;1317;1082;17;ES
23034;3;547;702;332;809;17;ES
23034;3;862;702;1945;809;17;ES
23034;3;963;314;1043;1154;12;PP
23034;3;975;194;975;473;18;ES
23034;3;1178;805;636;1146;17;ES
23045;1;25;1328;1310;1031;4;PP
23045;1;775;1328;1031;412;4;PP
23045;2;88;575;822;1237;3;SH
23045;2;1167;1358;1081;715;3;PP
23073;1;238;1145;1308;;26;ES
23073;1;1138;1151;2349;;10;ES
23073;2;846;2955;1330;2374;10;ES
23073;3;990;2955;1330;1404;10;ES
23073;3;1001;175;1145;;26;ES
23025;1;401;949;1022;;20;ES
23025;1;1191;1116;1398;2254;20;ES
23025;2;589;1228;697;1174;16;ES
23025;2;1014;678;1424;2472;16;ES
23025;3;195;595;1097;267;20;ES
23025;3;423;1424;6;;16;ES
23025;OT1;53;25;656;1228;16;ES
23022;1;392;2076;690;985;29;ES
23022;1;470;153;2938;323;11;ES
23022;1;1183;323;1336;1342;11;ES
23022;1;1190;810;915;988;29;ES
23022;2;180;2264;1336;161;11;ES
23022;2;403;610;900;988;29;ES
23022;2;643;867;1403;1297;11;SH
23022;2;1194;867;1297;;11;PP
23022;3;114;690;851;1208;29;ES
23022;3;472;116;1208;985;29;ES
23022;3;1191;851;690;985;29;PP
23092;1;227;753;570;2097;14;ES
23092;2;22;753;570;;14;ES
23092;2;982;618;1029;381;19;ES
23092;3;289;1803;1197;327;14;ES
23092;3;1167;1197;460;1271;14;ES
23053;1;183;2254;447;2388;39;ES
23053;1;202;951;385;82;30;ES
23053;1;604;1418;723;384;30;ES
23053;2;393;384;946;1418;30;ES
23053;3;299;949;1097;1339;20;ES
23053;3;527;951;138;385;30;ES
23053;3;1084;2786;595;545;20;ES
23178;1;232;697;1444;;16;ES
23178;1;366;321;2348;;28;ES
23178;1;974;639;632;379;28;PP
23178;2;747;639;2552;182;28;ES
23178;2;1088;1075;321;290;28;ES
23178;3;273;519;1255;895;28;ES
23178;3;824;678;697;1444;16;ES
23178;3;1045;1315;1444;678;18;ES
23178;3;1154;2348;1668;;28;ES, ENG
23032;1;1140;223;1026;478;7;ES
23032;2;103;223;481;478;7;ES
23032;2;583;809;2366;;17;ES
23032;2;1000;2498;1413;478;5;ES
23036;1;271;864;952;811;9;PP
23036;1;307;983;620;;9;ES
23036;2;1120;619;404;;15;ES
23036;3;33;1303;58;404;15;ES
23036;3;660;1334;1720;110;9;ES
23036;3;1179;695;110;1720;9;ES
24273;1;122;479;2096;859;13;ES
24273;1;937;679;479;859;13;ES
24273;3;677;651;1366;2553;23;ES
24273;3;701;1438;699;304;31;ES
24273;3;736;479;2096;1050;13;ES
24273;3;1088;479;2096;2785;13;ES
24273;3;1184;466;1132;1393;35;ES, ENG
23076;1;532;127;128;;1;ES
23076;1;798;551;2513;1262;0;PP
23076;2;291;543;560;5172;1;ES
23076;3;296;1307;498;2513;0;ES
23076;3;595;2513;188;854;0;ES
23076;3;1076;1431;287;410;1;PP
23076;3;1129;343;2513;551;0;ES
23507;2;372;1464;1427;1007;7;ES
23507;2;773;130;102;575;3;ES
23507;2;999;375;1381;;7;ES
23507;2;1069;442;865;1081;3;SH
23507;3;210;157;689;1157;7;PP
23507;3;944;1358;715;822;3;ES
23507;3;1001;130;865;575;3;SH
23507;3;1093;442;1081;822;3;ES
23507;3;1138;1670;257;577;3;ES, ENG
23186;1;121;2951;1053;1859;2;ES
23186;1;745;1179;1074;111;2;ES
23186;1;916;905;48;1429;26;ES
23186;1;995;1376;579;2262;2;SH
23186;1;1070;712;832;;2;ES
23186;2;462;209;1170;;2;PP
23186;2;775;1074;220;579;2;ES
23186;3;283;2523;1308;2917;49;ES
23068;1;263;1378;225;1359;21;ES
23068;2;378;36;548;;21;ES
23068;2;528;2374;1330;2780;10;ES
23068;3;97;98;2349;1151;10;ES
24202;1;83;728;700;618;19;ES
24202;1;688;841;1017;616;19;ES
24202;1;821;841;1292;1017;19;PP
24202;2;743;649;1214;2498;5;ES
24202;2;1069;841;1292;616;19;PP
24202;3;376;223;649;378;7;ES
24202;3;831;618;1065;785;19;ES
24202;3;1142;741;481;1413;5;ES
23083;1;441;632;290;;28;PP
23083;2;48;1255;555;1217;28;ES
23083;2;327;632;379;639;28;ES
23083;2;568;895;1255;555;28;ES
23083;2;990;65;1033;991;8;ES
23083;3;211;632;290;182;28;ES
23083;3;341;65;1207;991;8;ES
23083;3;1027;123;1357;613;8;ES
23083;3;1139;639;290;632;28;ES, ENG
24195;1;286;1859;209;840;2;ES
24195;1;400;1053;1248;579;30;ES
24195;3;335;579;392;;2;ES
24195;3;1151;1158;853;869;22;ES
23110;1;12;640;549;;18;ES
23110;1;548;356;953;1401;59;ES
23110;1;824;1283;973;2924;14;ES
23110;2;644;953;477;1289;18;ES
23110;2;776;1441;1175;1120;23;ES
23110;2;948;477;1426;549;18;ES
23110;2;1052;2550;2097;1197;19;ES
23023;1;13;1043;279;314;12;ES
23023;1;196;690;900;610;29;ES
23023;2;55;1057;1168;2491;12;PP
23023;2;238;2787;1057;539;12;ES
23023;2;707;116;165;1771;29;ES
23023;2;1026;690;985;851;29;PP
23023;3;319;165;985;690;29;ES
23023;3;464;314;1043;573;12;ES
23023;3;765;473;937;1131;12;ES
23055;1;648;2378;775;104;23;ES
23055;1;767;1025;670;816;25;ES
23055;2;26;1280;407;797;25;PP
23055;2;188;797;407;1400;25;ES
23055;2;490;1434;773;;25;ES
23055;3;484;104;2378;1438;23;ES
23055;3;797;651;719;74;23;ES
23048;1;44;384;723;385;30;ES
23048;1;459;322;464;2096;13;ES
23048;1;468;2096;512;446;13;ES
23048;1;890;479;870;315;13;PP
23048;1;1096;82;138;;30;PP
23048;2;70;370;479;466;13;SH
23048;2;716;870;479;315;13;ES
23048;3;118;763;81;2512;2;ES
23048;3;369;1050;2851;;13;ES
23035;1;120;1212;1708;619;15;ES
23035;1;156;323;1336;867;11;ES
23035;1;626;323;1403;867;11;PP
23035;2;940;867;1336;;11;ES
23035;3;1133;323;1297;;11;ES, ENG
23040;1;513;1031;2478;1310;4;ES
23040;2;128;725;1273;;4;ES
23040;2;298;1028;2383;375;7;ES
23040;2;851;1157;1211;1293;7;ES
23040;2;1028;412;1328;1031;4;PP
23040;3;385;722;2931;375;7;ES
23049;1;545;178;272;303;0;PP
23049;1;879;1285;2788;936;32;ES
23049;1;948;498;272;854;0;ES
23049;2;254;698;788;739;27;PP
23049;2;703;343;178;;0;PP
23049;3;525;216;2099;2778;6;ES
23049;3;642;1171;671;218;27;PP
23049;3;884;343;121;2513;0;ES
23049;3;1108;698;671;493;27;ES
24228;2;90;733;1954;1305;6;PP
24228;2;607;805;1331;;17;ES
24228;2;1191;1331;213;1945;17;ES
24228;3;133;1954;1176;1305;6;ES
24228;3;286;682;1432;44;6;ES
24228;3;382;213;1146;1331;17;ES
24228;3;563;1146;1945;416;17;ES
24228;3;606;1305;1176;;6;PP
23042;1;545;962;560;;1;ES
23042;1;942;595;2989;;20;ES
23042;1;1151;204;2952;5172;1;ES
23042;2;686;287;410;918;1;PP
23042;2;763;817;1116;1022;20;PP
23042;2;871;339;949;1398;20;ES
23042;3;283;962;204;179;1;ES
23062;1;851;592;1403;1392;11;ES
23062;1;987;2282;1859;1053;2;ES
23062;2;121;1403;1297;;11;ES
23062;2;138;1342;1322;1403;11;ES
23062;2;426;840;209;832;2;ES
23062;2;638;867;323;1428;11;PP
24215;1;437;1307;178;868;0;ES
24215;1;530;2513;357;303;0;PP
24215;1;783;385;138;45;30;ES
24215;2;121;2513;121;;0;ES
24215;2;501;357;551;498;0;ES
24215;2;572;551;303;;0;PP
24215;2;617;1399;854;498;14;ES
24215;2;986;2779;946;;30;ES
24215;3;626;357;1262;551;0;PP
24215;3;740;385;2063;138;30;ES
24215;3;803;1108;4;763;30;ES
23043;1;30;697;678;;16;ES
23043;1;215;1228;697;1424;16;PP
23043;1;1041;1228;697;1424;16;PP
23043;2;513;646;1447;210;24;ES
23043;3;219;784;275;;24;ES
23043;3;695;25;1424;697;16;PP
23043;3;783;678;1165;1430;16;ES
23043;3;1157;1423;1444;217;18;ES
23041;1;71;1771;900;2076;29;ES
23041;1;677;102;1295;715;3;ES
23041;1;1091;900;610;;29;ES
23041;2;141;915;681;1348;20;ES
23041;2;806;915;116;2076;20;ES
24214;1;721;918;2399;410;1;PP
24214;1;824;953;1401;2849;18;ES
24214;1;972;1340;838;1129;18;PP
24214;2;401;962;410;;1;ES
24214;2;514;128;2399;410;1;PP
24214;3;825;477;1340;1426;18;ES
23044;1;270;1157;1293;1427;7;PP
23044;1;627;1132;466;370;13;ES
23044;1;915;522;10;689;7;PP
23044;1;927;870;1132;;13;ES
23044;1;1009;370;367;679;13;ES
23044;2;597;315;870;2785;13;PP
23044;2;1003;157;375;1028;7;ES
23044;3;558;2096;370;1393;13;ES
23044;3;613;870;370;;13;ES
23054;2;33;324;334;750;4;ES
23054;2;115;1064;304;;23;ES
23054;2;350;2627;369;1328;4;ES
23052;1;29;864;952;1299;9;ES
23052;1;345;1334;463;;9;ES
23052;1;496;1162;481;223;5;ES
23052;1;785;695;1287;983;9;ES
23052;1;832;2531;38;1299;9;ES
23052;1;1199;1413;467;1026;5;PP
23052;2;501;695;983;;9;ES
23052;2;557;38;1287;983;9;ES
23052;2;855;695;1982;983;9;ES
23052;2;1164;1270;110;1982;9;ES
23052;3;95;223;1162;2341;7;ES
23052;3;638;952;864;1270;9;PP
23099;1;604;2349;655;;10;PP
23099;1;626;1417;4698;1029;19;ES
23099;2;353;98;1151;625;10;ES
23099;2;947;799;1330;2955;10;ES
23099;3;121;655;693;799;10;ES
23099;3;607;2780;752;1151;10;ES
23099;3;1090;655;126;693;10;ES
23281;1;326;1954;1176;1305;6;PP
23281;1;1031;2085;909;;22;PP
23281;1;1038;967;1955;1164;22;ES
23281;2;6;733;1432;1446;6;ES
23281;2;588;658;2797;1305;6;ES
23281;2;838;586;1440;;22;ES
23281;3;893;1954;1432;658;6;ES
23281;3;1084;967;1397;869;22;PP
23050;2;194;694;662;;15;ES
23050;2;829;619;694;662;15;ES
23050;3;1160;1300;1360;2371;15;ES, ENG
23059;1;426;1412;1171;;27;ES
23059;1;874;216;493;2778;6;ES
23059;2;215;2778;218;493;27;ES
23059;2;520;899;670;1400;25;PP
23059;2;1061;1171;308;;27;ES
23059;3;223;216;739;2778;6;ES
23093;1;688;446;479;;13;ES
23093;1;875;446;466;367;13;ES
23093;2;908;679;1132;315;13;ES
23153;1;388;733;1320;;6;ES
23153;1;601;1432;1377;1305;6;ES
23153;1;718;1954;682;;6;ES
23153;2;412;577;91;994;3;ES
23153;2;655;1954;658;1136;6;ES
23183;1;98;2349;2374;752;10;ES
23183;2;71;655;126;;10;ES
23183;3;701;655;752;2780;10;ES
23183;3;982;794;72;905;26;ES
23084;2;864;592;161;;11;PP
23084;2;1118;1428;1342;1322;11;ES
23084;3;1060;818;38;;9;ES
23116;1;1000;667;753;2924;14;ES
23116;1;1042;884;1173;762;14;ES
23116;3;82;1228;1351;697;16;ES
23116;3;267;1165;1444;656;16;ES
23116;3;683;656;25;1424;16;ES
23116;3;1170;25;656;;16;ES, ENG
23061;1;708;1408;304;;23;ES
23061;1;760;1366;405;651;23;ES
23061;2;449;953;395;300;18;ES
23061;2;486;1129;838;2849;18;ES
23061;2;775;1401;300;953;12;ES
23061;3;235;1289;296;549;18;ES
23061;3;433;1120;549;;18;ES
23061;3;988;304;74;719;18;ES
23069;1;22;65;866;991;8;ES
23069;1;99;123;222;2060;8;ES
23069;1;168;991;222;1207;8;ES
23069;1;417;991;1414;866;8;ES
23069;1;540;200;1414;563;8;ES
23069;2;748;314;1043;;12;ES
23069;2;964;1131;975;473;12;ES
23030;1;135;407;291;797;25;ES
23030;1;575;209;1859;579;2;ES
23030;1;902;1280;1777;291;25;ES
23030;2;11;111;2951;712;2;ES
23030;2;351;736;579;1179;2;ES
23030;2;1030;1053;920;;30;ES
23030;3;704;1053;920;1179;30;ES
23065;1;343;2063;946;2933;30;ES
23065;1;508;946;2933;;30;ES
23065;1;733;2369;1172;646;24;ES
23065;2;545;2063;1466;;30;ES
23065;2;654;2779;138;1418;30;ES
23065;2;1121;646;210;;24;ES
23033;1;566;690;985;988;29;ES
23033;1;711;610;1208;2777;29;ES
23033;1;1050;924;230;131;21;ES
23033;2;233;474;1208;988;29;ES
23033;3;176;353;690;116;29;ES
23033;3;327;851;690;1208;29;SH
23033;3;775;398;1143;1942;21;ES
23033;3;1154;131;1041;199;21;ES
23056;1;556;412;1328;;4;ES
23056;1;901;187;649;;5;PP
23056;2;183;412;1031;750;4;PP
23056;2;297;1031;412;2478;4;PP
23056;2;379;1031;1328;602;4;PP
23056;2;1111;1031;369;334;4;ES
23056;3;663;612;1405;2341;5;SH
23051;1;55;2095;841;1017;19;PP
23051;1;233;698;877;2099;27;ES
23051;1;425;841;1005;1017;19;PP
23051;2;61;721;381;;19;PP
23051;2;155;1171;218;;27;PP
23051;2;289;671;698;877;27;ES
23051;3;43;1417;841;;19;ES
23051;3;1192;785;1329;845;19;ES, ENG
23070;1;483;90;924;1143;21;PP
23070;1;885;849;1096;332;42;ES
23070;1;1108;90;225;92;21;ES
23070;2;1051;663;2366;702;17;ES
23070;3;424;90;1359;92;21;ES
23070;3;681;1942;90;225;21;ES
23070;3;821;1296;230;1378;21;ES
23070;3;1021;1143;199;92;21;ES
23102;1;897;689;10;522;7;ES
23102;2;139;918;410;1379;1;ES
23102;2;167;1431;287;;1;ES
23102;2;215;1431;1379;;1;ES
23102;3;337;689;10;522;7;ES
23127;1;297;272;498;;0;ES
23127;1;420;357;188;303;0;ES
23127;1;687;290;632;;28;ES
23127;2;53;182;639;2552;28;ES
23134;1;237;1145;237;2384;26;ES
23134;2;635;1097;772;817;20;ES
23134;2;760;696;1398;1116;20;ES
23134;2;884;237;794;;26;ES
23134;3;654;1145;1308;;26;PP
23134;3;838;595;2254;;20;ES
23134;3;977;72;794;550;26;PP
23154;2;191;2806;2891;;3;ES
23154;2;322;994;715;1295;3;ES
23154;2;393;130;1081;865;3;ES
23154;2;1031;865;1081;;3;ES
23154;2;1167;577;2251;91;3;ES
23154;3;228;1141;102;2891;3;ES
23154;3;602;682;1305;1176;6;ES
23154;3;687;1295;715;575;3;ES
23154;3;1041;130;2554;102;3;ES
23148;1;170;1292;841;313;19;ES
23148;1;352;1017;1292;;19;ES
23148;1;600;1065;716;785;27;ES
23148;1;648;728;4698;618;19;ES
23148;2;697;1043;1131;;12;PP
23148;3;1092;841;294;381;19;PP
23493;1;1074;853;1105;1158;22;ES
23493;2;1093;415;884;1197;14;PP
23493;3;884;1840;667;1283;47;ES
23493;3;1152;608;415;;14;ES, ENG
24219;1;326;877;698;218;27;PP
24219;1;706;1428;1392;867;11;PP
24219;2;517;867;1428;161;11;PP
24219;2;1123;1284;671;2778;27;ES
24219;3;746;1415;289;;11;ES
24219;3;855;1428;2264;1392;11;ES
24219;3;1128;1342;1297;1322;11;ES
24237;1;743;694;1212;1708;15;ES
24237;1;799;1360;1303;;15;PP
24237;2;721;991;563;866;8;ES
24237;2;763;58;1708;501;15;ES
24237;3;710;1006;866;991;8;ES
24237;3;993;1708;2371;1300;15;ES
23080;1;442;663;809;702;17;ES
23080;1;740;1317;1146;1331;17;ES
23080;1;914;213;702;809;17;PP
23080;2;580;1096;636;416;17;ES
23080;2;1100;1419;1294;603;24;ES
23080;3;74;636;1317;1945;17;ES
23080;3;373;603;1294;1281;24;ES
24244;1;604;952;811;1299;9;PP
24244;2;151;1170;1179;209;2;ES
24244;2;224;1170;209;832;2;PP
24244;2;823;864;952;760;9;ES
24244;3;199;760;983;1233;9;ES
24244;3;261;209;1859;1053;2;ES
24244;3;982;760;110;1287;9;PP
23066;1;830;1852;248;2478;4;ES
23066;2;162;25;656;1424;16;PP
23066;2;264;1031;324;412;4;ES
23066;2;488;750;2627;334;4;ES
23066;2;1104;656;1203;;16;ES
23087;1;1045;300;1120;1426;18;ES
23087;1;1153;719;2385;;23;ES
23087;2;990;1353;719;;23;ES
23087;3;178;304;2385;1408;18;ES
23087;3;1148;1426;838;1289;18;PP
24236;1;619;733;1446;2481;6;ES
24236;1;936;1394;733;1446;6;ES
24236;1;1053;2931;1028;;7;ES
24236;2;341;1464;375;;7;ES
24236;2;479;1293;2931;1157;7;ES
24236;2;653;1305;171;1377;6;ES
24236;3;69;10;1427;522;7;ES
24236;3;300;590;682;44;6;ES
24236;OT1;178;157;689;;7;PP
23047;1;584;985;690;353;29;ES
23047;1;712;1942;90;225;21;PP
23047;1;756;2777;1348;;29;ES
23047;1;867;609;1378;630;55;ES
23047;2;393;1208;988;1771;29;ES
23047;2;550;474;915;;29;ES
23047;2;642;851;985;690;29;ES
23047;2;1097;398;1143;36;21;ES
23047;3;264;36;398;548;21;ES
23112;1;1016;218;1171;;27;ES
23112;2;890;1840;753;1283;47;ES
23112;2;1141;884;327;762;14;ES
23112;3;699;1283;753;667;14;ES
23112;3;943;753;2097;;14;ES
23085;1;852;985;851;690;29;ES
23085;2;217;2076;116;985;29;ES
23085;2;363;1744;479;2096;13;ES
23085;2;547;2777;474;1208;29;ES
23085;3;794;2777;988;690;29;ES
23085;3;958;2851;367;315;13;ES
23067;1;1035;2525;722;;7;ES
23067;2;10;10;1293;1028;7;ES
23067;2;547;1777;1280;291;25;ES
23067;2;689;1280;1777;816;25;ES
23067;2;881;689;1427;292;7;SH
23067;3;229;1280;629;1777;25;ES
23067;3;930;852;1337;291;25;SH
23432;1;332;655;752;2374;10;PP
23432;1;804;469;560;;1;ES
23432;2;762;1151;799;126;10;PP
23432;2;875;126;693;;10;ES
23432;3;395;655;752;2349;10;PP
23139;1;175;1360;1238;1300;15;PP
23139;2;468;1212;662;;15;ES
23139;3;1146;662;1708;;15;ES, ENG
23194;1;380;1172;646;621;24;ES
23194;1;808;1172;2369;646;24;ES
23194;1;897;702;1146;;17;ES
23194;1;927;702;1146;1317;17;ES
23194;1;1084;2369;646;784;24;ES
23194;2;70;1433;297;275;24;ES
23194;2;164;1172;646;1443;24;PP
23194;3;25;1433;275;;24;ES
23194;3;199;297;1281;1433;24;ES
23194;3;790;416;663;213;17;ES
23071;1;162;2063;385;;30;PP
23071;1;468;1165;1315;1669;16;ES
23071;1;788;25;656;1444;16;PP
23071;1;845;217;1423;;16;ES
23071;2;697;1430;1165;1424;16;PP
23071;3;186;138;1108;723;30;ES
23075;1;888;1328;412;1031;4;ES
23075;2;709;1022;2989;339;20;ES
23075;3;26;1310;725;1273;4;ES
23075;3;217;1022;545;;20;ES
23075;3;702;1116;2989;;20;ES
23075;3;992;2254;595;;39;ES
23075;3;1011;248;2478;1310;4;ES
23075;3;1193;51;817;;20;ES, ENG
23621;1;176;323;1297;;11;PP
23621;1;485;867;323;1428;11;ES
23621;1;583;867;1297;323;11;ES
23621;1;829;1322;289;2938;11;ES
23621;2;55;853;869;1158;22;ES
23621;2;440;274;1322;;11;ES
23621;2;1118;893;869;853;22;ES
23621;2;1198;1164;967;1158;22;ES
23621;3;717;471;967;1286;22;ES
23621;3;768;1297;274;1322;11;ES
23621;3;1054;274;1336;1322;11;ES
23177;1;334;937;657;1209;12;ES
23177;1;372;1131;937;473;12;ES
23177;1;605;2491;1168;;12;ES
23177;1;927;866;1357;991;8;PP
23177;2;816;1154;1043;937;12;PP
23177;2;962;123;1449;65;8;ES
23177;3;1111;1006;1445;563;8;ES
23105;1;220;519;1395;321;28;ES
23105;1;233;695;110;;9;ES
23105;1;840;1354;519;182;28;ES
23105;2;285;895;555;1255;28;ES
23105;2;714;864;952;811;9;ES
23105;2;915;1299;811;1233;9;PP
23105;3;570;760;2531;463;9;ES
23105;3;642;695;1299;1982;9;ES
23105;3;849;639;632;290;28;PP
23105;3;931;555;895;519;28;ES
23105;OT1;208;182;519;;28;ES
23072;1;123;1141;2891;102;3;ES
23072;1;330;575;865;1295;3;ES
23072;2;303;575;1295;257;3;ES
23072;2;903;715;994;1237;3;SH
23072;3;57;649;1026;1027;5;ES
23072;3;1164;481;223;2341;5;PP
23270;1;337;1120;1340;395;18;ES
23270;2;378;1170;1248;712;2;ES
23270;2;421;1289;838;1129;18;ES
23270;3;93;1859;1179;;2;ES
23270;3;167;1441;549;300;23;ES
23270;3;455;1053;920;111;30;ES
23270;3;549;1859;209;1170;2;PP
23270;3;594;736;392;1179;2;ES
23270;3;700;1426;549;477;18;ES
23107;1;329;616;1417;294;19;ES
23107;1;339;618;728;4698;19;ES
23107;1;444;1017;616;841;19;ES
23107;1;729;405;1353;;23;ES
23107;1;814;999;6054;1408;23;ES
23107;2;1078;1438;2385;1353;31;ES
23107;3;760;1438;775;1366;31;PP
23107;3;1018;999;719;405;23;ES
23107;3;1159;841;1329;2095;19;ES
23150;1;236;550;794;206;26;PP
23150;2;43;845;381;841;61;SH
23150;2;183;1017;721;381;19;PP
23150;2;386;294;618;1065;19;ES
23150;2;800;2384;1145;48;26;ES
23150;2;853;206;1308;72;26;ES
23150;2;1193;72;794;;26;PP
23150;3;153;905;2065;206;26;SH
23150;3;229;841;381;721;19;PP
23150;3;722;794;72;207;26;ES
23077;1;119;464;479;2785;13;ES
23077;1;409;1050;466;;13;ES
23077;1;511;723;384;2933;30;ES
23077;1;737;138;385;;30;ES
23077;3;202;723;384;1108;30;ES
23077;3;499;2257;2512;1108;30;ES
23077;3;1180;488;2933;;43;ES, ENG
23140;1;792;551;862;121;0;ES
23140;3;199;1155;967;586;10;ES
23063;1;930;788;671;;27;PP
23063;2;316;2371;619;662;15;ES
