TeamId;ES L1 LW;ES L1 C;ES L1 RW;ES L1 LD;ES L1 RD;ES L2 LW;ES L2 C;ES L2 RW;ES L2 LD;ES L2 RD;ES L3 LW;ES L3 C;ES L3 RW;ES L3 LD;ES L3 RD;ES L4 LW;ES L4 C;ES L4 RW;ES L4 LD;ES L4 RD;PP5on4 L1 LW;PP5on4 L1 C;PP5on4 L1 RW;PP5on4 L1 LD;PP5on4 L1 RD;PP5on4 L2 LW;PP5on4 L2 C;PP5on4 L2 RW;PP5on4 L2 LD;PP5on4 L2 RD;PP5on3 L1 LW;PP5on3 L1 C;PP5on3 L1 RW;PP5on3 L1 LD;PP5on3 L1 RD;PP5on3 L2 LW;PP5on3 L2 C;PP5on3 L2 RW;PP5on3 L2 LD;PP5on3 L2 RD;PP4on3 L1 F1;PP4on3 L1 F2;PP4on3 L1 LD;PP4on3 L1 RD;PP4on3 L2 F1;PP4on3 L2 F2;PP4on3 L2 LD;PP4on3 L2 RD;PK4on5 L1 F1;PK4on5 L1 F2;PK4on5 L1 LD;PK4on5 L1 RD;PK4on5 L2 F1;PK4on5 L2 F2;PK4on5 L2 LD;PK4on5 L2 LD;PK4on5 L3 F1;PK4on5 L3 F2;PK4on5 L3 LD;PK4on5 L3 LD;PK3on5 L1 F1;PK3on5 L1 LD;PK3on5 L1 RD;PK3on5 L2 F1;PK3on5 L2 LD;PK3on5 L2 LD;PK3on4 L1 F1;PK3on4 L1 LD;PK3on4 L1 RD;PK3on4 L2 F1;PK3on4 L2 LD;PK3on4 L2 LD;4on4 L1 F1;4on4 L1 F2;4on4 L1 LD;4on4 L1 RD;4on4 L2 F1;4on4 L2 F2;4on4 L2 LD;4on4 L2 LD;3on3 L1 F1;3on3 L1 LD;3on3 L1 RD;3on3 L2 F1;3on3 L2 LD;3on3 L2 LD;Shootout 1;Shootout 2;Shootout 3;Shootout 4;Shootout 5;Goalie 1;Goalie 2;Extra Attacker 1;Extra Attacker 2;
17;702;809;663;1317;855;213;1331;1096;332;2366;636;416;1082;2387;2966;135;805;1352;;;702;809;1082;1317;2366;213;1331;1096;636;2387;702;809;1082;213;1317;636;1331;1096;1352;2366;702;809;213;1317;1082;1331;1096;2366;416;663;332;855;1082;809;1317;2366;805;702;2387;2966;663;332;855;416;1317;2366;663;332;855;416;1317;2366;702;809;1317;855;1331;213;332;2366;702;809;1317;1331;213;855;702;1331;809;135;1082;505;1333;809;702;
18;1129;838;640;549;300;477;1426;194;528;1289;1120;304;2164;1175;1423;953;296;2381;;;1129;838;640;477;528;1120;2381;194;1289;300;1129;838;640;477;528;1120;2381;194;1289;300;1129;838;640;528;1120;477;2381;1289;304;1426;549;1423;2164;296;528;300;1129;838;1175;1289;1426;549;1423;304;528;300;1426;549;1423;304;528;300;1129;838;549;300;477;640;528;1289;1129;838;300;477;640;549;838;477;194;1426;640;2314;2174;838;1129;
19;294;1029;841;1292;1017;728;2095;4698;1417;381;885;;785;618;313;2550;;267;;;294;1029;841;1017;381;2550;2095;785;1417;1292;294;1029;841;1017;381;2550;2095;785;1417;1292;785;841;381;1017;2095;1029;294;1417;4698;;1292;313;885;728;618;1017;841;;1417;381;;1292;313;4698;618;1017;;1292;313;4698;618;1017;4698;841;1292;1017;1029;785;1417;381;4698;841;1017;1029;785;381;785;1029;841;1017;4698;1056;489;841;4698;
20;1398;339;1116;51;1321;595;2786;949;1097;2989;817;382;915;308;772;2388;2059;545;;;1398;339;1116;595;1321;817;2786;949;915;772;1398;339;1116;595;1321;817;2786;949;915;772;1398;1116;595;1321;339;949;2786;772;915;382;1097;2989;1398;1116;308;1321;595;339;51;772;382;1097;308;915;51;2989;382;1097;308;915;51;2989;1398;1116;51;1321;949;595;1097;2989;1398;1116;51;949;595;1097;817;595;1116;1398;339;707;419;1398;1116;
21;398;199;1143;548;92;922;1942;225;1359;924;90;630;1378;666;1296;;1264;;;;398;1942;1143;92;548;922;630;225;1264;924;398;1942;1143;92;548;922;630;225;1264;924;1143;1942;630;92;225;398;922;548;1942;199;666;924;630;1264;548;1296;90;922;1359;92;199;666;924;1942;548;1296;199;666;924;1942;548;1296;1942;199;548;92;630;1143;1359;924;1942;199;92;630;1143;548;398;1942;225;92;1359;1406;1690;199;1942;
22;1158;738;853;893;471;1286;869;967;1772;2719;586;1164;2085;1105;317;39;336;909;;;1286;738;853;893;471;586;869;967;2085;2719;1286;738;853;893;471;586;869;967;2085;2719;967;853;738;893;869;1286;2085;471;853;1158;1105;317;967;586;893;471;1286;738;1772;2719;1158;1105;317;853;893;471;1158;1105;317;853;893;471;1158;853;893;471;738;967;1772;2719;1158;853;893;738;967;471;853;738;1286;869;967;318;1036;853;909;
23;719;2553;651;405;1366;775;1064;1441;1408;699;999;364;726;;104;2378;88;6054;;;719;2553;651;1441;1408;775;1064;726;999;1366;719;2553;651;1441;1408;775;1064;726;999;1366;719;651;1441;1408;775;2553;999;1366;1064;719;405;699;651;364;1408;104;6054;2378;;1366;719;405;699;364;1408;104;719;405;699;364;1408;104;719;651;405;1366;2553;1441;1408;699;719;651;405;2553;1441;1408;1441;651;719;726;2553;737;2375;651;719;
24;2369;646;1172;784;210;1265;1447;1054;621;589;275;1433;297;1281;1443;1419;2247;1339;;;2369;646;1172;1447;1281;1265;1433;1054;275;589;2369;646;1172;1447;1281;1265;1433;1054;275;589;646;1172;2369;1281;1054;1447;1265;589;275;646;784;210;1172;297;621;589;1447;2369;1281;1443;646;784;210;275;621;589;646;784;210;275;621;589;646;1172;784;210;1447;2369;621;589;646;1172;784;1447;2369;210;1339;646;1054;2369;1447;295;812;1172;646;
25;407;797;1400;257;291;1025;1777;1280;629;1192;852;899;1434;439;2964;2098;773;1137;;;407;797;1400;1777;1192;1025;899;1280;1137;439;407;797;1400;1777;1192;1025;899;1280;1137;439;407;797;1777;1192;1280;1400;899;439;852;1400;629;291;1434;1025;257;1192;773;797;439;2964;852;629;291;1400;257;1192;852;629;291;1025;257;1192;407;797;257;291;1400;1777;439;1192;407;797;291;1400;1777;257;1280;407;797;1025;852;1221;2269;797;407;
26;72;1429;794;1308;550;1145;206;115;2065;237;905;2384;48;175;878;7015;2917;1994;;;72;1429;794;1145;1308;905;206;115;878;237;72;1429;794;1145;1308;905;206;115;878;237;1145;72;905;1308;206;1429;794;878;905;1145;2065;550;794;206;175;237;1429;72;1308;878;1145;2065;550;905;175;237;1145;2065;550;905;175;237;1145;72;1308;550;1429;905;2065;237;1145;72;550;1429;905;237;115;72;7015;1145;1308;710;1239;72;905;
27;1171;698;877;493;1412;671;218;788;2640;1422;106;2778;1065;2466;1284;739;395;1261;;;1171;698;877;671;1412;739;218;788;1065;493;1171;698;877;671;1412;739;218;788;1065;493;671;1171;877;1412;788;698;218;493;395;106;2466;1422;1171;671;493;1412;877;698;2640;1284;106;2466;1422;395;493;1412;106;2466;1422;395;493;1412;671;1171;493;1412;698;877;2640;1422;671;1171;1412;698;877;493;218;2778;671;1171;877;487;2557;218;698;
28;1395;290;632;379;519;895;1255;1195;321;1075;639;182;4686;2552;1217;555;2348;1354;;;639;290;632;379;519;1354;1255;4686;1075;321;639;290;632;379;519;1354;1255;4686;1075;321;632;290;1255;379;639;4686;1075;519;1195;1395;321;519;182;1255;2552;1217;895;555;379;1075;1395;321;519;1195;2552;1217;1395;321;519;1195;2552;1217;632;290;379;519;1395;1255;321;1217;632;290;519;1395;1255;379;290;639;1195;4686;632;429;1061;632;290;
29;851;1771;985;681;1208;690;2777;900;988;165;610;810;474;116;2076;2888;1348;1436;;;851;1771;985;690;1208;610;2777;900;810;988;851;1771;985;690;1208;610;2777;900;810;988;985;851;690;1208;900;1771;610;988;985;851;681;1208;1771;690;988;165;610;900;116;2076;851;681;1208;985;988;165;851;681;1208;985;988;165;985;851;681;1208;1771;690;988;165;985;851;1208;1771;690;681;2888;2777;610;690;851;2947;2834;851;985;
30;1418;723;384;385;138;1053;1466;936;946;1108;1894;45;2779;2933;2257;951;82;2063;;;1418;1466;936;385;138;1053;82;2779;946;1108;1418;1466;936;385;138;1053;82;2779;946;1108;1053;1418;138;385;2779;1466;1108;946;384;723;385;138;1418;45;946;1108;1466;1053;2933;2257;723;385;138;384;946;1108;723;385;138;384;946;1108;1418;723;385;138;1053;384;946;1108;1418;723;385;1053;384;138;1418;1466;385;1894;82;103;2549;1418;723;
31;3047;2668;1776;265;984;2342;2274;1857;2961;499;3043;730;5601;1854;2431;1969;2452;7081;;;2342;2668;1857;499;265;3043;2274;1776;2431;1854;2342;2668;1857;499;265;3043;2274;1776;2431;1854;2668;2342;265;499;3043;2274;1854;2431;3047;1776;2961;984;730;1969;265;499;2342;5601;1854;2431;3047;2961;984;1776;265;499;3047;2961;984;1776;265;499;2342;3047;265;984;2274;2668;2961;499;2342;3047;984;2274;2668;499;2274;3043;1857;2668;730;2936;1911;7081;2274;
32;1071;5222;1513;;363;2788;1285;2265;6577;1981;2176;930;6434;5217;5103;2922;2872;2019;;;2788;5222;1513;2265;;2176;1285;930;2872;6577;2788;5222;1513;1285;;2176;930;2265;2872;1981;2788;5222;1513;;2265;1285;2176;6577;1071;2922;5103;363;2019;6434;;1981;2788;5222;6577;5217;1071;5103;363;2922;;1981;1071;5103;363;2922;;1981;5222;1071;;363;1513;2788;6577;1981;2788;1071;363;1513;5222;1981;1285;1071;2788;930;2176;923;992;2788;1285;
33;928;1183;1227;664;913;286;2827;828;2460;1592;2047;1883;;4708;1411;6716;;5315;;;828;1883;1227;1592;1411;928;1183;;664;2460;828;1883;1227;1592;1411;928;1183;;664;2460;828;1227;1411;1592;;1883;2460;664;286;1183;4708;913;;2827;664;1592;5315;2047;2460;1411;1183;4708;913;286;664;1592;1183;4708;913;286;664;1592;1183;1227;664;913;286;928;2460;1592;1183;1227;913;828;928;664;1227;5315;664;1883;828;1016;3987;1227;928;
34;5709;1160;1138;1186;932;2287;521;338;914;4424;4433;1047;880;2258;1282;4960;2867;2957;;;5709;1160;1138;1186;932;4433;1047;2957;914;4424;5709;1160;1138;1186;914;4433;1047;2957;932;4424;1160;1138;5709;1186;2957;1047;914;932;521;338;1186;1282;4960;880;914;932;2867;2287;2258;4424;521;1186;1282;338;914;932;521;1186;1282;338;914;932;1160;1138;1186;932;521;338;914;4424;1160;1138;1186;338;521;914;5709;1047;1160;4960;4433;771;1002;1138;1160;
35;587;;447;1455;1457;2510;2551;1161;1855;2818;1018;2939;4803;6844;5759;5467;5873;4874;;;2510;;1161;587;1457;1018;2551;4803;2939;2818;2510;;1161;587;1457;1018;2551;4803;2939;2818;2510;;587;1457;2551;1018;2939;2818;5873;447;1455;1457;587;;1855;2818;1018;2510;6844;5759;447;1455;1457;5873;1855;2818;447;1455;1457;5873;1855;2818;587;;1455;1457;1018;2510;1855;2818;587;;1455;1018;2510;1457;1161;587;;2510;4874;692;673;;4803;
36;724;4654;;1939;836;2821;2046;2807;1617;87;2826;1684;2339;;581;5612;;572;;;2821;2826;;1617;836;724;4654;2339;87;1939;2821;2826;;1617;836;724;4654;2339;1939;87;;2821;2826;1617;2339;724;1939;836;4654;2807;;87;5612;2046;1939;581;1684;724;1617;836;4654;;87;2807;1939;581;4654;;87;2807;1939;581;4654;724;1939;836;2821;;1617;87;4654;724;836;2821;;87;2821;2807;5612;2046;724;485;599;4654;;
37;2891;2161;406;2197;1868;2798;1250;1456;366;2607;1944;4745;1578;421;2825;1698;2350;6075;;;2891;2161;406;6075;366;2798;1250;2350;1944;421;2891;2161;406;6075;366;2798;1250;2350;1944;421;2891;406;2161;366;6075;1250;2350;421;1578;1456;2197;2607;406;1698;366;1868;2891;2161;421;2825;1456;2197;2607;1578;366;1868;1456;2197;2607;1578;366;1868;1456;406;2197;1868;2891;1578;366;2607;1456;406;2197;2891;1578;366;1250;406;2891;2350;1456;1875;2591;6075;1456;
38;262;740;940;782;1290;1106;591;2889;2969;959;2968;4623;4311;588;33;2702;5676;2944;;;262;1106;2889;588;1290;2968;740;4311;2702;959;262;1106;2889;588;1290;2968;740;4311;2702;959;2889;1106;262;588;2702;2968;4311;1290;740;940;782;959;591;5676;2969;33;4311;4623;588;1290;940;782;959;740;2969;33;940;782;959;740;2969;33;591;940;782;1290;1106;740;588;959;740;940;1290;1106;591;959;2889;2944;4311;1106;2702;1345;534;2889;740;
39;1009;1223;611;326;790;529;1714;1370;891;5632;873;2930;1013;2254;120;1134;1003;524;;;1009;1223;611;326;891;873;1714;1370;790;2254;1009;1223;611;326;891;873;1714;1370;790;2254;611;1223;891;326;1370;1714;1009;790;1134;529;120;790;611;1223;326;5632;1370;1714;891;2254;529;120;790;1134;326;5632;529;120;790;1134;326;5632;611;1223;326;790;1370;1714;891;5632;611;1223;326;1370;1714;891;1134;1009;611;326;1013;1234;1901;1223;611;
40;453;1218;2052;431;490;2812;6830;6048;190;283;5771;1182;1973;2852;2616;1953;2017;5418;;;453;1218;2052;6830;490;2812;1182;6048;431;190;453;1218;2052;6830;431;2812;1182;6048;490;190;6830;1218;431;490;2052;1182;283;190;1218;5771;431;490;1182;6830;190;283;2052;5418;2852;2616;5771;431;490;1218;190;283;5771;431;490;1218;190;283;6830;1218;431;490;2052;1182;190;283;6830;1218;431;2052;1182;490;1218;2052;2812;2017;1973;2615;835;6830;1182;
41;14;1147;329;1011;641;2213;4897;2437;2921;2167;1667;61;4644;1775;974;2782;5161;6076;;;14;1147;2437;1011;974;2213;4897;61;5161;2921;14;1147;2437;1011;974;2213;4897;61;5161;2921;14;1147;974;1011;4897;2213;2437;641;6076;1667;1775;2167;2782;329;2921;641;4897;61;1011;974;1667;1775;2167;6076;2921;641;1667;1775;2167;6076;2921;641;14;1147;1011;641;2213;329;2921;2167;14;1147;1011;2213;329;641;14;1147;2437;2213;1667;2846;6353;1147;14;
42;1899;;4148;1664;2960;1480;5470;5988;1945;995;2101;2170;5264;770;6211;4832;2058;1856;;;1899;5470;5264;2170;1664;2101;2058;4148;1945;6211;1899;5470;5264;2170;1664;2101;2058;4148;1945;6211;2170;5470;1899;1664;5264;2101;2058;1945;4832;;770;2960;2058;1480;1664;995;1856;5988;1945;6211;;770;2960;4832;1664;995;;770;2960;4832;1664;995;5470;;1664;2960;1899;2170;1945;995;5470;;1664;1899;2170;1945;2101;5470;;1899;2058;2246;706;;5988;
43;488;2512;607;1442;1224;4503;5225;4878;252;1492;;777;516;;2887;2511;2869;2077;;;488;2512;607;1224;1442;4503;777;4878;516;1492;488;2512;607;1224;1442;4503;777;4878;516;1492;607;2512;488;1224;516;4878;4503;1442;777;5225;252;;607;2512;1442;1224;4878;488;2887;1492;5225;252;;777;1442;1224;5225;252;;777;1442;1224;607;2512;1442;1224;4878;488;252;1492;607;2512;1224;4878;488;1442;2512;2511;488;607;1442;896;1988;4878;5225;
44;1784;1135;5247;2797;2108;1773;2030;1986;1190;;1929;2409;2359;961;2179;2036;2169;;;;1784;1135;2169;2797;1190;1773;2030;1986;2409;961;1784;1135;2169;2797;1190;1773;2030;1986;2409;961;1784;1135;2030;2797;2409;1773;2169;1190;5247;2036;1190;2108;2169;2409;961;;1986;1929;2797;2179;5247;1190;2108;2036;961;;5247;1190;2108;2036;961;;1784;1135;2797;2108;2030;1773;1190;;1784;1135;2797;1773;2030;1190;2030;1135;2169;1986;5247;831;1085;5247;1135;
45;;1382;433;380;1277;;1140;;;418;;;;41;1687;4793;;;;;;1382;433;1140;;;;;;41;;1382;;1140;;;;;433;41;;1382;1140;;;;;41;4793;1382;380;418;;1140;1277;1687;;;;41;4793;380;418;1382;1277;1687;4793;380;418;1382;1277;1687;;1382;380;1277;1140;;;418;;1382;380;1140;;1277;;;;;433;352;1934;;1140;
46;939;1628;1014;970;1166;792;1301;5838;1045;;1779;5179;5443;1124;5454;4746;5288;510;;;939;1628;1014;792;1045;1779;5179;1301;4746;1124;939;1628;1014;792;1045;1779;5179;1301;4746;1124;939;1014;1628;1045;1779;792;4746;1124;5288;5838;970;1166;939;1014;1045;5454;1628;792;1124;;5838;970;1166;5288;1045;5454;5838;970;1166;5288;1045;5454;939;1014;970;1166;1628;792;1045;;939;1014;1166;792;1628;970;1014;1779;792;1628;1301;346;4916;4746;5838;
47;5886;5260;2685;1253;;562;1347;2876;980;;2018;5278;2492;;2924;1626;2391;2847;;;562;5260;2492;1347;;2018;1626;2391;5278;1253;562;5260;2492;1347;;2018;1626;2391;5278;1253;5260;562;1347;;1626;2018;2391;1253;2847;2685;1253;;5886;562;980;2924;5278;1347;;;2685;1253;;2847;980;2924;2685;1253;;2847;980;2924;5886;562;1253;;1347;5260;980;;5886;562;1253;1347;5260;;2492;562;2018;2391;1347;1060;401;5886;5260;
48;1272;919;883;1461;972;1121;4998;709;1169;1062;408;4755;4442;540;1980;7246;1958;1754;;;1272;919;883;1461;1169;1121;7246;709;4442;1980;1272;919;883;1461;1169;1121;7246;4442;709;1980;1121;1272;883;1461;709;4442;919;1169;4755;4998;540;972;1121;1272;1461;1062;883;709;1169;1980;4998;540;972;4755;1461;1062;4998;540;972;4755;1461;1062;709;1272;1461;972;1121;883;1169;1062;1121;1272;972;883;709;1461;1121;1754;919;883;4442;856;0;4442;4998;
49;1564;1252;2631;2484;533;958;298;1946;1076;423;2523;2508;1877;968;601;1842;5640;5050;;;1564;1252;2631;423;1076;2523;2508;1946;298;601;1564;1252;2631;423;1076;2523;298;1946;2508;601;1564;1252;1076;423;2508;298;2523;601;1564;298;2484;533;2523;958;968;601;1946;5050;1076;423;1564;2484;533;958;968;601;1564;2484;533;958;968;601;1564;1252;2484;533;958;298;1076;423;1564;1252;533;958;298;423;2508;1842;2631;1946;958;1279;1040;1252;1564;
