StaffId;TeamId;First Name;Last Name;Nick Name;Date Of Birth;Birthcity;Birthstate;Nationality_One;Nationality_Two;Nationality_Three;Retired
49;23;Jeff;Vinik;;1959-3-22;Deal;NJ;The United States;;;0
50;-1;Larry;Tanenbaum;;1945-1-1;Toronto;ON;Canada;;;1
51;12;Francesco;Aquilini;;1960-1-1;Vancouver;BC;Canada;;;0
52;16;Ted;Leonsis;;1957-1-8;Brooklyn;NY;The United States;;;0
53;4;Doug;Houda;;1966-6-3;Blairmore;AB;Canada;;;0
54;13;Geoff;Ward;;1962-4-8;Waterloo;ON;Canada;;;0
55;-1;Doug;Jarvis;;1955-3-24;Brantford;ON;Canada;;;1
56;2;Bob;Essensa;;1965-1-14;Toronto;ON;Canada;;;0
57;11;Kevyn;Adams;;1974-10-8;Washington;DC;The United States;;;0
58;13;Martin;Gelinas;;1970-6-5;Shawinigan;QC;Canada;;;0
59;61;Rod;Brind'Amour;;1970-8-9;Ottawa;ON;Canada;;;0
60;20;John;MacLean;;1964-11-20;Oshawa;ON;Canada;;;0
61;-1;Stephane;Waite;;1965-1-1;Sherbrooke;QC;Canada;;;0
62;5;David;Quinn;;1966-7-30;West Point;UT;The United States;;;0
63;12;Ian;Clark;;1966-5-12;Vancouver;BC;Canada;;;0
64;-1;Steve;Smith;;1963-4-30;Glasgow;SCO;Canada;Scotland;;1
65;7;John;Stevens;;1966-5-4;Campbellton;NB;Canada;;;0
66;22;Davis;Payne;;1970-10-24;Port Alberni;BC;Canada;;;0
67;6;Bill;Ranford;;1966-12-14;Brandon;MB;Canada;;;0
68;-1;Pierre;Groulx;;1975-12-15;Ajax;ON;Canada;;;0
69;15;Peter;Horachek;;1960-1-26;Hamilton;ON;Canada;;;0
70;14;Lane;Lambert;;1964-11-18;Melfort;SK;Canada;;;0
71;2;Mike;Dunham;;1972-6-1;Johnson City;NY;The United States;;;0
72;9;Mike;Sullivan;;1968-2-27;Marshfield;MA;The United States;;;0
73;-1;Benoit;Allaire;;1962-1-1;Abbotsford;BC;Canada;;;1
74;-1;Luke;Richardson;;1969-3-26;Ottawa;ON;Canada;;;0
75;-1;Kevin;McCarthy;;1957-7-14;Winnipeg;MB;Canada;;;1
76;10;Craig;Berube;;1965-12-17;Calahoo;AB;Canada;;;0
77;7;Jeff;Reese;;1966-3-24;Brantford;ON;Canada;;;0
78;25;Todd;Reirden;;1971-6-25;Deerfield;IL;The United States;;;0
79;-1;Gilles;Meloche;;1950-6-12;Montreal;QC;Canada;;;1
80;11;Mike;Bales;;1971-8-6;Prince Albert;SK;Canada;;;0
81;-1;Jim;Playfair;;1964-5-22;Fort St. James;BC;Canada;;;0
82;0;Sean;Burke;;1967-1-29;Windsor;ON;Canada;;;0
83;10;Larry;Robinson;;1951-6-2;Winchester;ON;Canada;;;0
84;20;Corey;Schwab;;1970-11-4;North Battleford;SK;Canada;;;0
85;21;Mike;Ricci;;1971-10-27;Toronto;ON;Canada;;;0
86;19;Ray;Bennett;;1962-5-17;Innisfail;AB;Canada;;;0
87;-1;Frantz;Jean;;1971-6-4;Montreal;QC;Canada;;;0
88;10;Dave;Farrish;;1956-8-1;Wingham;ON;Canada;;;0
89;50;Blaine;Forsythe;;1974-1-1;Calgary;AB;Canada;;;0
90;16;Olaf;Kolzig;;1970-4-6;Johannesburg;GAU;Germany;Canada;;0
91;-1;Rick;Bowness;;1955-1-25;MacEwen;NB;Canada;;;1
92;12;Newell;Brown;;1962-2-14;Cornwall;ON;Canada;;;0
93;24;Rick;Paterson;;1958-2-10;Kingston;ON;Canada;;;0
94;24;Martin;Madden;;1982-1-1;Quebec City;QC;Canada;;;0
95;-1;Todd;Marchant;;1973-8-12;Buffalo;NY;The United States;;;0
96;24;Glen;Cochrane;;1958-1-9;Kamloops;BC;Canada;;;0
97;24;Dave;Baseggio;;1967-10-28;Niagara Falls;ON;Canada;;;0
98;11;Jeff;Crisp;;1970-1-1;Parry Sound;ON;Canada;;;0
99;24;Jan-Åke;Danielsson;;1952-1-1;Leksand;DAL;Sweden;;;0
100;24;Konstantin;Krylov;;1960-12-24;Usinsk;KOM;Russia;;;0
101;24;Steve;Lyons;;1962-3-17;Canton;MA;The United States;;;0
102;24;Kevin;Murray;;1980-2-6;Park Ridge;IL;The United States;;;0
103;-1;Jim;Pappin;;1939-9-10;Sudbury;ON;Canada;;;1
104;24;Jim;Sandlak;House;1966-12-12;Kitchener;ON;Canada;;;0
105;2;Scott;Bradley;;1963-8-29;Delta;BC;Canada;;;0
106;12;Jim;Benning;;1963-4-29;Edmonton;AB;Canada;;;0
107;-1;Don;Sweeney;;1966-8-17;St. Stephen;NB;Canada;;;0
108;2;Scott;Fitzgerald;;1970-1-1;Boston;MA;The United States;;;0
109;17;Mike;Chiarelli;;1975-1-1;Ottawa;ON;Canada;;;0
110;2;Adam;Creighton;;1965-6-2;Burlington;ON;Canada;;;0
111;45;Keith;Gretzky;;1967-2-16;Brantford;ON;Canada;;;0
112;2;Dean;Malkoc;;1970-1-26;Vancouver;BC;Canada;;;0
113;2;Mike;McGraw;;1960-12-24;Minneapolis;MN;The United States;;;0
114;-1;Tom;McVie;;1935-6-6;Trail;BC;Canada;;;1
115;2;Ryan;Nadeau;;1976-1-1;Taunton;MA;The United States;;;0
116;-1;Svenåke;Svensson;;1950-2-7;Kiruna;NOR;Sweden;;;1
117;11;Kevin;Devine;;1954-12-9;Toronto;ON;Canada;;;0
118;15;Eric;Weinrich;;1966-12-19;Roanoke;VA;The United States;;;0
119;6;Yuri;Khmylev;;1964-8-9;Moscow;MOS;Russia;;;0
120;-1;Kim;Gellert;;1954-1-1;Kelowna;BC;Canada;Italy;;1
121;6;Dave;Torrie;;1967-1-1;Blenheim;ON;Canada;;;0
122;13;Craig;Conroy;;1971-9-4;Potsdam;NY;The United States;;;0
123;13;Tod;Button;;1967-1-1;Maple Ridge;BC;Canada;;;0
124;24;Michel;Goulet;;1960-4-21;Hamilton;ON;Canada;;;0
125;2;Blair;Reid;;1958-1-1;Calgary;AB;Canada;;;0
126;20;Mike;Sands;;1963-4-6;Sudbury;ON;Canada;;;0
127;13;Ari;Haanpää;;1965-11-29;Nokia;PIR;Finland;;;0
128;13;Bob;MacMillan;;1952-9-3;Charlottetown;PE;Canada;;;0
129;13;Fred;Parker;;1970-1-1;Ottawa;ON;Canada;;;0
130;10;Glen;Wesley;;1968-10-2;Red Deer;AB;Canada;;;0
131;18;Tony;MacDonald;;1952-1-1;Prescott;ON;Canada;;;0
132;-1;Sheldon;Ferguson;;1951-1-1;Kitchener;ON;Canada;;;1
133;18;Robert;Kron;;1967-2-27;Brno;JHM;Czech Republic;;;0
134;-1;Bob;Luccini;;1952-1-1;Franklin;MA;The United States;;;1
135;-1;Bert;Marshall;;1943-11-22;Kamloops;BC;Canada;;;1
136;18;Dave;Hunter;;1964-11-25;Glasgow;SCO;Canada;Scotland;;0
137;-1;Pierre;Gauthier;;1953-5-28;Montreal;QC;Canada;;;1
138;3;Ryan;Stewart;;1974-4-27;Niagara Falls;ON;Canada;;;0
139;-1;Barry;Smith;;1952-8-21;Buffalo;NY;The United States;;;1
140;-1;Ron;Anderson;;1950-1-21;Moncton;NB;Canada;;;1
141;24;Bruce;Franklin;;1964-1-1;Winnipeg;MB;Canada;;;0
142;2;Dennis;Bonvie;;1973-7-23;Antigonish;NS;Canada;;;0
143;3;Don;Lever;;1952-11-14;Timmins;ON;Canada;;;0
144;3;Alex;Brooks;;1976-8-21;Madison;WI;The United States;;;0
145;3;Karel;Pavlik;;1962-1-15;Trebíc;VYS;Czech Republic;;;0
146;3;Niklas;Blomgren;;1977-8-28;Södertälje;STO;Sweden;;;0
147;3;Mats;Hallin;;1958-3-19;Eskilstuna;SöD;Sweden;;;0
148;3;Gord;Donnelly;;1962-4-5;Montreal;QC;Canada;;;0
149;3;Darrell;May;;1962-3-6;Edmonton;AB;Canada;;;0
150;-1;Peter;Nevin;;1947-1-1;Moncton;NB;Canada;;;1
151;3;Jim;McKellar;;1974-1-1;London;ON;Canada;;;0
152;3;Mike;Doneghey;;1970-7-28;Boston;MA;The United States;;;0
153;19;Brad;Smith;;1958-4-13;Windsor;ON;Canada;;;0
154;19;Garth;Joy;;1968-8-3;Kirkland Lake;ON;Canada;;;0
155;19;Alan;Hepple;;1963-8-16;Blaydon;ENG;Canada;England;;0
156;19;Daniel;Laperriere;;1969-3-28;Laval;QC;Canada;;;0
157;19;Joni;Lehto;;1970-7-15;Turku;SOU;Finland;;;0
158;-1;Terry;Martin;;1955-10-25;Barrie;ON;Canada;;;1
159;-1;Don;Paarup;;1949-1-1;Calgary;AB;Canada;;;1
160;8;Richard;Pracey;;1971-5-10;Hamilton;ON;Canada;;;0
161;19;Neil;Shea;;1963-7-15;Quincy;MA;The United States;;;0
162;19;Chris;MacFarland;;1970-3-28;Ft. Morgan;CO;The United States;;;0
163;4;Tyler;Wright;;1973-4-6;Toronto;ON;Canada;;;0
164;15;Paul;Castron;;1962-5-23;Toronto;ON;Canada;;;0
165;4;Andrew;Dickson;;1970-7-28;Almonte;ON;Canada;;;0
166;-1;Rob;Riley;;1955-1-15;West Point;NY;The United States;;;1
167;-1;Les;Jackson;;1952-12-21;Manning;AB;Canada;;;1
168;-1;Paul;McIntosh;;1954-3-13;Listowel;ON;Canada;;;1
169;7;Danny;O'Brien;;1982-6-2;Boston;MA;The United States;;;0
170;0;Shane;Churla;;1965-6-24;Fernie;BC;Canada;;;0
171;7;Dennis;Holland;;1969-1-30;Vernon;BC;Canada;;;0
172;7;Jiri;Hrdina;;1958-1-5;Mlada Boleslav;STR;Czech Republic;;;0
173;-1;Jimmy;Johnston;;1953-3-7;Peterborough;ON;Canada;;;1
174;7;Alex;LePore;;1964-1-1;Ottawa;ON;Canada;;;0
175;7;Rickard;Öquist;;1958-1-1;Norrtälje;STO;Sweden;;;0
176;7;Borys;Protsenko;;1978-8-21;Kiev;KIE;Ukraine;;;0
177;7;Shane;Turner;;1958-1-1;Charlottetown;PE;Canada;;;0
178;4;Kris;Draper;;1971-5-24;Toronto;ON;Canada;;;0
179;4;Jiri;Fischer;;1980-7-31;Horovice;STR;Czech Republic;;;0
180;-1;Mark;Howe;;1955-5-28;Detroit;MI;The United States;Canada;;1
181;4;Glenn;Merkosky;;1959-4-8;Edmonton;AB;Canada;;;0
182;7;Joe;McDonnell;;1961-5-11;Kitchener;ON;Canada;;;0
183;-1;Bruce;Haralson;;1948-1-1;Calgary;AB;Canada;;;1
184;4;Kirk;Maltby;;1972-12-22;Guelph;ON;Canada;;;0
185;7;Mark;Leach;;1962-1-1;New York;NY;The United States;;;0
186;7;David;Kolb;;1973-1-1;Englewood;NJ;The United States;;;0
187;4;Jeff;Finley;;1967-4-14;Edmonton;AB;Canada;;;0
188;4;Hakan;Andersson;;1965-1-1;Stockholm;STO;Sweden;;;0
189;-1;Vladimir;Havluj;;1952-1-1;Kladno;STR;Czech Republic;;;1
190;1;Ari;Vuori;;1962-6-9;Pöytyä;SOU;Finland;;;0
191;4;Nikolai;Vakurov;;1969-2-9;Moscow;MOS;Russia;;;0
192;4;Marty;Stein;;1956-1-1;Vernon;BC;Canada;;;0
193;22;Mike;Abbamont;;1967-1-1;Burlington;ON;Canada;;;0
194;17;Chris;Cichocki;;1963-9-17;Detroit;MI;The United States;;;0
195;17;Duane;Sutter;Dog;1960-3-16;Viking;AB;Canada;;;0
196;11;Frank;Musil;;1964-12-17;Pardubice;PAR;Czech Republic;;;0
197;17;Scott;Harlow;;1963-10-11;East Bridgewater;MA;The United States;;;0
198;17;Jim;Crosson;;1960-5-7;Regina;SK;Canada;;;0
199;17;Pelle;Eklund;;1963-3-22;Stockholm;STO;Sweden;;;0
200;1;Robert;Nordmark;;1962-8-20;Kalix;NOR;Sweden;;;0
201;-1;Paul;Gallagher;;1955-1-1;Mississauga;ON;Canada;;;1
202;21;Mike;Yandle;;1964-1-1;Framingham;MA;The United States;;;0
203;6;Nelson;Emerson;;1967-8-17;Hamilton;ON;Canada;;;0
204;-1;Mike;O'Connell;;1955-11-25;Chicago;IL;The United States;;;1
205;8;Kim;Dillabaugh;;1977-7-28;Duncan;BC;Canada;;;0
206;-1;Rob;Laird;;1954-12-29;Regina;SK;Canada;;;1
207;101;Steve;Greeley;;1980-9-26;Scituate;MA;The United States;;;0
208;8;Alyn;McCauley;;1977-5-29;Brockville;ON;Canada;;;0
209;6;Mark;Yanneti;;1971-6-7;Boxford;MA;The United States;;;0
210;6;Michael;Futa;;1967-10-28;Toronto;ON;Canada;;;0
211;-1;Brent;McEwen;;1956-5-11;Assiniboia;SK;Canada;;;1
212;6;Tony;Gasparini;;1974-7-12;Grand Forks;ND;The United States;;;0
213;6;Denis;Fugere;;1955-1-1;Montreal;QC;Canada;;;0
214;6;Christian;Ruuttu;;1964-2-20;Lappeenranta;SKA;Finland;;;0
215;15;Jim;Mill;;1967-11-17;West Hartford;CT;The United States;;;0
216;-1;Blair;Mackasey;;1955-12-13;Hamilton;ON;Canada;;;1
217;0;Martin;Lapointe;;1973-9-12;Montreal;QC;Canada;;;0
218;20;Ryan;Jankowski;;1967-1-1;Calgary;AB;Canada;;;0
219;-1;Elmer;Benning;;1943-12-24;Edmonton;AB;Canada;;;1
220;0;Serge;Boisvert;;1959-6-1;Drummondville;QC;Canada;;;0
221;0;Hannu;Laine;;1967-9-1;Helsinki;UUS;Finland;;;0
222;0;Christer;Rockström;;1957-2-3;Karlstad;VäR;Sweden;;;0
223;0;Bobby;Kinsella;;1973-1-1;Brockton;MA;The United States;;;0
224;11;Mark;Mowers;;1974-2-16;Decatur;GA;The United States;;;0
225;0;Donald;Audette;;1969-9-23;Laval;QC;Canada;;;0
226;21;John;Madden;;1973-5-4;Barrie;ON;Canada;;;0
227;-1;Glen;Dirk;;1950-1-1;Vernon;BC;Canada;;;1
228;15;Scott;Lachance;;1972-10-22;Charlottesville;VA;The United States;;;0
229;14;Chris;Lamoriello;;1972-1-1;Providence;RI;The United States;;;0
230;15;Pierre;Mondou;;1955-9-27;Sorel-Tracy;QC;Canada;;;0
231;15;Gates;Orlando;;1962-11-13;Markham;ON;Canada;Italy;;0
232;15;Lou;Reycroft;;1959-1-1;Valdosta;GA;The United States;;;0
233;15;Vaclav;Slansky;;1975-1-1;Kladno;STR;Czech Republic;;;0
234;15;Steve;Smith;;1962-1-1;Peterborough;ON;Canada;;;0
235;15;Geoff;Stevens;;1966-1-1;Kitchener;ON;Canada;;;0
236;-1;Jacques;Laperriere;;1941-11-22;Rouyn-Noranda;QC;Canada;;;1
237;-1;Jacques;Lemaire;;1945-9-7;Montreal;QC;Canada;;;1
238;14;Ken;Morrow;;1956-10-17;Flint;MI;The United States;;;0
239;14;Trent;Klatt;;1971-1-30;Robbinsdale;MN;The United States;;;0
240;14;Eric;Cairns;;1974-6-27;Oakville;ON;Canada;;;0
241;14;Veli-Pekka;Kautonen;;1970-5-9;Helsinki;UUS;Finland;;;0
242;14;Mario;Saraceno;;1957-1-1;Montreal;QC;Canada;;;0
243;14;Chris;O'Sullivan;;1974-5-15;Boston;MA;The United States;;;0
244;14;Jeff;Napierala;;1968-2-27;Muskegon;MI;The United States;;;0
245;5;Jeff;Gorton;;1969-1-1;Bridgewater;MA;The United States;;;0
246;-1;Gordie;Clark;;1952-5-31;Glasgow;SCO;Canada;Scotland;;1
247;5;Kevin;Maxwell;;1960-3-30;Edmonton;AB;Canada;;;0
248;-1;Doug;Risebrough;;1954-1-29;Kitchener;ON;Canada;;;1
249;5;Adam;Graves;;1968-4-12;Toronto;ON;Canada;;;0
250;5;Jan;Gajdosik;;1960-12-24;Liptovský Hradok;ZIL;Slovakia;;;0
251;5;Oto;Hascak;;1964-1-31;Martin;ZIL;Slovakia;;;0
252;-1;Vladimir;Lutchenko;;1949-1-2;Moscow;MOS;Russia;;;1
253;-1;Rick;Kehoe;;1951-7-15;Windsor;ON;Canada;;;1
254;5;Larry;Bernard;;1967-4-16;Prince George;BC;Canada;;;0
255;5;Rich;Brown;;1967-1-1;Sarnia;ON;Canada;;;0
256;5;Brendon;Clark;;1981-1-12;Reading;MA;The United States;;;0
257;5;Daniel;Dore;;1970-4-9;Toronto;ON;Canada;;;0
258;5;Peter;Stephan;;1965-1-1;Edmonton;AB;Canada;;;0
259;-1;Gilles;Leger;;1941-7-16;Cornwall;ON;Canada;;;1
260;5;Justin;Sather;;1978-1-1;Calgary;AB;Canada;;;0
261;22;Pierre;Dorion;;1972-7-6;Ottawa;ON;Canada;;;0
262;22;George;Fargher;;1964-1-1;Vernon;BC;Canada;;;0
263;22;Bob;Janecyk;;1957-5-18;Chicago;IL;The United States;;;0
264;15;Greg;Royce;;1965-1-22;Halifax;NS;Canada;;;0
265;22;Trent;Mann;;1973-7-17;New Richmond;QC;Canada;;;0
266;22;Jim;Clark;;1954-3-16;Summerside;PE;Canada;;;0
267;15;Lewis;Mongelluzzo;;1959-12-4;Philadelphia;PA;The United States;;;0
268;22;Mikko;Ruutu;;1978-9-10;Vantaa;UUS;Finland;;;0
269;8;Chris;Pryor;;1961-1-23;St. Paul;MN;The United States;;;0
270;8;Dave;Brown;;1962-10-12;Saskatoon;SK;Canada;;;0
271;8;Al;Hill;;1955-4-22;Nanaimo;BC;Canada;;;0
272;8;Ross;Fitzpatrick;;1960-10-7;Penticton;BC;Canada;;;0
273;-1;John;Chapman;;1945-1-1;Lethbridge;AB;Canada;;;1
274;-1;Dennis;Patterson;;1950-1-9;Peterborough;ON;Canada;;;1
275;8;Mark;Greig;;1971-1-25;High River;AB;Canada;;;0
276;8;Todd;Hearty;;1972-1-1;Whitby;ON;Canada;;;0
277;8;Wade;Clarke;;1971-1-1;Philadelphia;PA;The United States;Canada;;0
278;14;Matti;Kautto;;1964-2-17;Jyväskylä;FIN;Finland;;;0
279;-1;Vaclav;Slansky;;1945-1-1;Hulín;ZLN;Czech Republic;;;1
280;8;John;Riley;;1966-11-22;Malden;MA;The United States;;;0
281;13;Robert;Neuhauser;;1980-1-1;Moravské Budejovice;VYS;Czech Republic;;;0
282;13;Derek;MacKinnon;;1970-1-1;Lismore;NS;Canada;;;0
283;20;Glen;Zacharias;;1961-1-1;Saskatoon;SK;Canada;;;0
284;9;Jay;Heinbuck;;1963-3-19;Mitchell;ON;Canada;;;0
285;15;Tom;Fitzgerald;;1968-8-28;Billerica;MA;The United States;;;0
286;9;Patrick;Allvin;;1974-10-10;Falun;DAL;Sweden;;;0
287;-1;Andre;Savard;;1953-9-2;Témiscamingue;QC;Canada;;;1
288;9;Derek;Clancey;;1969-4-16;St. John's;NL;Canada;;;0
289;18;Don;Waddell;;1958-8-19;Detroit;MI;The United States;;;0
290;1;Scott;Bell;;1971-7-29;Inver Grove Heights;MN;The United States;;;0
291;9;Luc;Gauthier;;1964-4-19;Longueuil;QC;Canada;;;0
292;11;Ron;Pyette;;1973-1-16;Sault Ste. Marie;ON;Canada;;;0
293;9;Brian;Fitzgerald;;1976-1-1;Billerica;MA;The United States;;;0
294;9;Al;Santilli;;1970-5-31;Boston;MA;The United States;;;0
295;9;Tommy;Westlund;;1974-12-29;Alvesta;KRO;Sweden;;;0
296;-1;Tim;Burke;;1955-5-29;Melrose;MA;The United States;;;1
297;-1;Gilles;Cote;;1945-1-1;Winnipeg;MB;Canada;;;1
298;-1;Pat;Funk;;1949-1-13;St. Paul;MN;The United States;;;1
299;21;Dirk;Graham;;1959-7-29;Regina;SK;Canada;;;0
300;-1;Rob;Grillo;;1954-9-23;Nisswa;MN;The United States;;;1
301;21;Brian;Gross;;1957-1-1;Regina;SK;Canada;;;0
302;21;Shinn;Larsson;;1974-5-9;Stockholm;STO;Japan;Sweden;;0
303;21;Bryan;Marchment;;1969-5-1;Toronto;ON;Canada;;;0
304;10;Tim;Taylor;;1969-2-6;Stratford;ON;Canada;;;0
305;10;Rob;DiMaio;;1968-2-19;Calgary;AB;Canada;;;0
306;20;Bill;Armstrong;;1970-5-18;Richmond Hill;ON;Canada;;;0
307;-1;Larry;Pleau;;1947-6-29;Lynn;MA;The United States;;;1
308;10;Tony;Feltrin;;1961-12-6;Ladysmith;BC;Canada;;;0
309;10;Jan;Vopat;;1973-3-22;Most;UST;Czech Republic;;;0
310;10;Wayne;Mundey;;1949-12-11;Montreal;QC;Canada;;;0
311;10;Dan;Ginnell;;1966-9-18;Des Moines;IA;The United States;Canada;;0
312;10;Jay;Niemiec;;1979-6-22;Freetown;MA;The United States;;;0
313;22;Anders;Ostberg;;1980-11-5;Landskrona;SKå;Sweden;;;0
314;11;Cory;Banika;;1970-4-9;Oshawa;ON;Canada;;;0
315;10;Blair;Nicholson;;1960-1-1;Edmonton;AB;Canada;;;0
316;10;Michel;Picard;;1969-11-7;Alma;QC;Canada;;;0
317;-1;Rob;Ramage;;1959-1-11;London;ON;Canada;;;1
318;-1;Al;Murray;;1955-2-1;Regina;SK;Canada;;;1
319;23;Darryl;Plandowski;;1967-10-18;Lloydminster;AB;Canada;;;0
320;23;Mikael;Andersson;;1966-5-10;Malmö;SKå;Sweden;;;0
321;23;Kari;Kettunen;;1960-12-24;Turku;SOU;Finland;;;0
322;4;Antonin;Routta;;1968-6-26;Kladno;STR;Czech Republic;;;0
323;-1;Gerry;O'Flaherty;;1950-8-31;Pittsburgh;PA;The United States;Canada;;1
324;23;John;Burkhart;;1970-1-1;Kansas City;MO;The United States;;;0
325;23;Michel;Boucher;;1965-1-1;Trois-Rivières;QC;Canada;;;0
326;23;Chris;Yzerman;;1968-1-1;Ottawa;ON;Canada;;;0
327;23;Jamie;Pushor;;1973-2-11;Lethbridge;AB;Canada;;;0
328;23;Brian;Putnam;;1974-1-1;Potsdam;NY;The United States;;;0
329;23;Brad;Whelen;;1971-1-1;Calgary;AB;Canada;;;0
330;23;Rob;Kitamura;;1973-1-1;Hamilton;ON;Canada;;;0
331;23;Julien;BriseBois;;1977-1-24;Montreal;QC;Canada;;;0
332;23;Pat;Verbeek;;1964-5-24;Sarnia;ON;Canada;;;0
333;24;Dave;Nonis;;1966-5-25;Burnaby;BC;Canada;;;0
334;-1;Mike;Penny;;1952-1-1;Montreal;QC;Canada;;;1
335;-1;Tom;Watt;;1935-6-17;Toronto;ON;Canada;;;1
336;1;John;Lilley;;1972-8-3;Wakefield;MA;The United States;;;0
337;1;Garth;Malarchuk;;1954-7-22;Edmonton;AB;Canada;;;0
338;3;Allan;Power;;1961-1-1;Moncton;NB;Canada;;;0
339;0;Dave;Starman;;1968-4-21;New York;NY;The United States;;;0
340;-1;Thommie;Bergman;;1947-12-10;Munkfors;VäR;Sweden;;;1
341;16;Peter;Ihnacak;;1957-5-3;Poprad;PRE;Slovakia;;;0
342;-1;Nikolai;Ladygin;;1954-5-20;Moscow;MOS;Russia;;;1
343;12;Stan;Smyl;;1958-1-28;Glendon;AB;Canada;;;0
344;12;Ron;Delorme;;1955-9-3;North Battleford;SK;Canada;;;0
345;12;Thomas;Gradin;;1956-2-18;Sollefteå;VäS;Sweden;;;0
346;12;Sergei;Chibisov;;1964-1-1;Moscow;MOS;Russia;;;0
347;12;Tim;Lenardon;;1962-5-11;Trail;BC;Canada;;;0
348;-1;Ted;Hampson;;1936-12-11;Yorkton;SK;Canada;;;1
349;12;Dan;Palango;;1960-1-1;Kingston;ON;Canada;;;0
350;-1;Scott;Arniel;;1962-9-17;Kingston;ON;Canada;;;0
351;12;Brian;Chapman;;1968-2-10;Brockville;ON;Canada;;;0
352;0;Eric;Crawford;;1973-4-16;Belleville;ON;Canada;;;0
353;12;Lars;Lindgren;;1952-10-13;Piteå;NOR;Sweden;;;0
354;12;Jonathan;Bates;;1985-1-1;Boston;MA;The United States;;;0
355;12;Brett;Henning;;1980-5-7;Huntington;NY;The United States;Canada;;0
356;16;Brian;MacLellan;;1958-10-27;Guelph;ON;Canada;;;0
