PlayerId;TeamId;FranchiseId;Games Played;Minutes Played;Wins;Losses;OT;Shots Against;Saves;Goals Against;Goals Against Average;Shutouts;Save Percentage;Game Rating
2591;37;37;3;185;1;1;1;81;73;8;2.59;0;.901;62
2598;50;50;5;190;2;1;0;112;101;11;3.47;0;.902;61
2615;40;40;4;237;1;3;0;132;119;13;3.28;0;.902;68
2625;52;52;3;180;3;0;0;75;73;2;0.67;2;.973;91
2641;48;48;4;240;2;1;1;146;136;10;2.50;0;.932;84
2654;60;60;3;184;2;1;0;97;87;10;3.24;0;.897;63
2670;59;59;4;189;0;2;1;98;86;12;3.81;0;.878;56
2687;16;16;3;180;3;0;0;99;91;8;2.67;0;.919;74
2800;1;1;3;180;1;2;0;126;116;10;3.33;0;.921;80
2804;0;0;2;119;0;2;0;74;68;6;3.02;0;.919;77
2840;46;0;4;209;1;1;0;119;108;11;3.14;0;.908;63
2878;42;17;4;183;1;1;1;124;109;15;4.90;0;.879;56
2916;44;6;5;251;2;2;0;116;105;11;2.62;0;.905;67
2936;31;23;4;239;2;2;0;121;109;12;3.01;1;.901;67
2940;51;22;4;192;1;1;0;120;114;6;1.87;0;.950;84
2947;29;29;4;233;3;1;0;126;115;11;2.82;1;.913;70
2954;40;7;3;179;2;1;0;99;87;12;4.02;0;.879;56
3837;75;75;5;244;2;2;0;149;136;13;3.19;0;.913;71
3867;95;95;5;250;2;3;0;137;121;16;3.83;0;.883;59
3987;33;33;4;202;1;1;1;111;103;8;2.37;0;.928;66
4480;100;100;5;232;0;3;1;169;144;25;6.46;0;.852;45
4523;90;90;6;245;2;2;0;151;128;23;5.63;0;.848;49
4629;100;100;5;258;2;2;0;117;106;11;2.55;0;.906;59
4643;99;99;3;178;0;3;0;101;86;15;5.03;0;.851;50
4666;93;93;5;241;3;1;0;105;94;11;2.73;0;.895;58
4697;84;84;4;223;2;1;1;148;134;14;3.77;0;.905;70
4705;91;91;4;239;2;2;0;109;95;14;3.51;0;.872;62
4754;96;96;3;128;1;2;0;82;74;8;3.74;0;.902;65
4771;86;86;4;249;3;1;0;126;112;14;3.36;0;.889;62
4838;102;102;4;207;1;1;2;135;117;18;5.19;0;.867;53
4839;54;9;3;184;2;1;0;120;110;10;3.25;0;.917;76
4872;89;89;6;211;2;1;0;113;103;10;2.84;0;.912;60
4908;47;14;3;178;1;1;1;64;55;9;3.02;0;.859;54
4916;46;0;6;209;0;5;0;170;150;20;5.73;0;.882;54
4919;70;70;4;240;4;0;0;97;94;3;0.75;1;.969;79
4940;62;62;4;194;2;2;0;107;91;16;4.94;0;.850;47
4942;63;63;4;240;4;0;0;83;81;2;0.50;3;.976;84
4968;41;4;4;239;3;1;0;129;113;16;4.01;0;.876;61
4972;49;26;4;214;1;3;0;104;87;17;4.75;0;.837;38
4977;48;5;2;120;1;1;0;73;67;6;3.00;0;.918;69
5054;72;72;3;179;2;1;0;99;91;8;2.67;0;.919;74
5088;78;78;4;170;2;1;0;107;100;7;2.46;0;.935;67
5090;74;74;3;180;1;1;1;114;104;10;3.32;0;.912;78
5107;77;77;5;225;1;4;0;155;138;17;4.51;0;.890;58
5154;83;83;3;183;2;1;0;88;78;10;3.26;0;.886;56
5183;69;69;3;183;0;2;1;87;77;10;3.28;0;.885;59
5257;70;70;3;181;1;1;1;82;71;11;3.64;0;.866;55
5348;75;75;3;184;1;2;0;120;107;13;4.22;0;.892;62
5372;69;69;4;245;2;1;1;113;102;11;2.69;0;.903;65
5398;50;15;4;234;0;4;0;167;148;19;4.86;0;.886;62
5411;36;25;3;171;1;2;0;63;51;12;4.21;0;.810;41
5492;117;117;3;125;1;1;0;79;69;10;4.78;0;.873;56
5533;35;13;4;201;2;1;0;116;105;11;3.27;0;.905;67
5551;108;108;6;340;2;3;0;223;200;23;4.06;0;.897;66
5611;114;114;4;182;2;1;0;96;83;13;4.26;0;.865;55
5614;114;114;4;237;2;1;1;171;154;17;4.29;0;.901;64
5651;107;107;5;196;0;4;0;150;132;18;5.48;0;.880;50
5655;117;117;5;293;2;3;0;168;149;19;3.89;1;.887;63
5714;106;106;5;235;1;3;0;138;119;19;4.84;0;.862;49
5786;105;105;3;78;1;1;0;44;35;9;6.92;0;.795;37
5791;59;18;4;236;2;1;1;143;130;13;3.29;1;.909;67
5808;105;105;5;207;0;2;0;141;123;18;5.21;0;.872;48
5832;110;110;4;212;2;1;0;144;125;19;5.36;0;.868;57
5880;38;28;3;180;3;0;0;55;48;7;2.33;0;.873;60
5881;47;14;4;239;2;2;0;125;113;12;3.00;0;.904;67
5915;33;2;4;222;2;2;0;135;119;16;4.32;0;.881;54
5966;89;89;4;209;2;2;0;126;104;22;6.29;0;.825;40
5976;94;94;4;244;2;2;0;126;109;17;4.17;0;.865;47
6077;65;65;4;243;3;1;0;141;126;15;3.69;0;.894;66
6087;80;80;3;179;1;2;0;109;100;9;3.01;0;.917;75
6093;79;79;6;238;1;2;1;149;127;22;5.52;0;.852;50
6197;74;74;2;118;1;1;0;76;71;5;2.53;0;.934;80
6248;107;107;5;221;0;3;0;201;182;19;5.14;0;.905;67
6250;116;116;4;226;2;2;0;145;130;15;3.98;0;.897;63
6311;120;120;6;261;2;2;0;113;99;14;3.21;0;.876;54
6326;116;116;4;192;2;1;0;153;144;9;2.81;1;.941;77
6353;41;4;3;190;2;0;1;97;86;11;3.47;0;.887;56
6367;90;90;4;174;1;2;0;110;95;15;5.15;0;.864;55
6398;34;11;4;235;1;2;0;128;112;16;4.08;0;.875;54
6418;92;92;6;292;2;1;1;116;103;13;2.67;0;.888;54
6448;95;95;4;171;1;1;0;79;68;11;3.86;0;.861;50
6503;100;100;5;192;1;2;0;117;102;15;4.69;0;.872;52
6540;55;21;3;190;1;0;2;73;69;4;1.26;1;.945;71
6579;87;87;4;234;2;2;0;87;74;13;3.32;0;.851;47
6581;99;99;4;240;3;1;0;129;114;15;3.75;0;.884;63
6593;103;103;3;178;2;1;0;84;76;8;2.69;0;.905;62
6631;98;98;3;179;1;2;0;112;101;11;3.67;0;.902;66
6664;66;66;5;255;2;1;2;128;112;16;3.76;0;.875;52
6701;76;76;4;243;2;1;1;113;100;13;3.21;0;.885;57
6720;68;68;5;243;1;3;0;120;107;13;3.20;0;.892;59
6733;57;24;2;120;2;0;0;52;47;5;2.50;0;.904;64
6735;79;79;4;180;0;3;0;124;102;22;7.30;0;.823;38
6751;67;67;4;244;2;2;0;124;110;14;3.43;0;.887;56
6799;73;73;4;245;4;0;0;116;105;11;2.69;1;.905;68
6825;72;72;4;240;4;0;0;115;104;11;2.75;0;.904;64
6840;82;82;3;177;0;3;0;106;93;13;4.38;0;.877;58
6865;77;77;5;207;0;0;2;154;142;12;3.46;0;.922;68
6902;43;30;2;120;2;0;0;59;54;5;2.50;0;.915;72
6916;78;78;5;261;0;3;1;195;172;23;5.29;0;.882;60
6945;71;71;5;256;4;0;0;181;170;11;2.57;0;.939;81
7063;106;106;4;194;1;1;1;103;89;14;4.32;0;.864;48
7095;108;108;4;225;3;0;0;115;105;10;2.66;0;.913;67
7109;115;115;4;239;2;2;0;109;93;16;4.00;0;.853;47
7141;120;120;3;156;1;2;0;75;61;14;5.37;0;.813;34
7142;54;9;4;238;0;4;0;181;163;18;4.52;0;.901;68
7145;105;105;5;210;0;5;0;141;117;24;6.83;0;.830;42
7160;112;112;4;162;0;3;0;145;132;13;4.80;0;.910;62
7192;104;104;4;245;3;0;1;99;90;9;2.20;0;.909;61
7250;58;1;2;102;0;2;0;79;69;10;5.85;0;.873;62
7251;110;110;5;209;0;2;2;125;105;20;5.72;0;.840;49
7323;103;103;4;186;0;4;0;151;133;18;5.80;0;.881;59
7333;85;85;4;215;0;3;1;151;133;18;5.00;0;.881;58
7426;98;98;4;245;3;0;1;136;129;7;1.71;1;.949;86
7484;73;73;3;180;2;1;0;66;59;7;2.33;0;.894;62
7501;62;62;4;229;1;1;1;112;97;15;3.92;0;.866;49
7528;74;74;5;307;4;0;1;133;119;14;2.73;0;.895;65
7575;81;81;3;139;2;0;0;64;57;7;3.00;0;.891;57
7673;113;113;3;180;3;0;0;70;60;10;3.32;0;.857;52
7678;119;119;3;176;1;1;0;80;69;11;3.73;0;.863;55
7787;97;97;2;119;1;1;0;67;63;4;2.02;0;.940;89
7790;101;101;4;209;2;1;0;148;135;13;3.72;0;.912;72
7801;84;84;4;199;2;1;0;84;72;12;3.61;0;.857;51
7870;97;97;1;40;0;1;0;37;31;6;8.83;0;.838;38
7876;100;100;3;180;3;0;0;88;83;5;1.67;0;.943;75
8043;91;91;3;183;3;0;0;57;50;7;2.28;0;.877;51
8147;72;72;4;243;3;0;1;115;105;10;2.47;0;.913;67
8179;68;68;4;179;0;2;1;119;102;17;5.67;0;.857;44
8206;81;81;5;285;2;3;0;145;130;15;3.16;1;.897;64
8300;80;80;4;239;2;2;0;144;129;15;3.75;0;.896;67
8361;71;71;3;167;1;2;0;101;89;12;4.30;0;.881;64
8364;83;83;4;239;1;3;0;129;116;13;3.26;0;.899;69
8395;65;65;3;182;1;1;1;97;89;8;2.64;1;.918;73
8403;73;73;4;240;4;0;0;105;95;10;2.50;1;.905;67
8515;118;118;5;265;3;2;0;118;102;16;3.62;0;.864;53
8534;118;118;4;154;2;0;0;86;80;6;2.32;0;.930;65
8562;111;111;3;125;2;0;0;58;53;5;2.40;0;.914;61
8676;119;119;5;244;4;1;0;138;124;14;3.44;0;.899;63
8685;113;113;4;239;3;1;0;101;91;10;2.51;0;.901;62
8790;87;87;4;184;2;1;0;57;49;8;2.61;0;.860;51
8857;103;103;4;233;1;2;0;138;123;15;3.86;0;.891;58
8927;63;63;3;184;2;0;1;79;68;11;3.57;0;.861;52
9106;115;115;4;234;3;0;0;83;77;6;1.53;1;.928;68
9148;121;121;4;195;2;2;0;101;84;17;5.23;0;.832;43
9208;106;106;4;205;1;2;0;100;85;15;4.38;0;.850;46
9214;115;115;4;184;2;2;0;91;79;12;3.91;0;.868;51
9273;93;93;3;178;2;1;0;101;91;10;3.37;0;.901;65
9378;85;85;4;205;1;2;0;121;104;17;4.96;0;.860;44
9386;101;101;4;210;2;2;0;115;100;15;4.28;0;.870;51
9400;92;92;3;132;1;2;0;76;62;14;6.32;0;.816;34
9413;96;96;5;295;2;1;1;132;119;13;2.64;0;.902;62
9426;102;102;4;225;3;0;0;137;123;14;3.73;0;.898;66
9454;88;88;4;240;4;0;0;116;104;12;3.00;0;.897;61
9579;67;67;3;179;1;2;0;100;86;14;4.69;0;.860;44
9669;72;72;4;177;1;1;0;119;102;17;5.75;0;.857;50
9850;65;65;3;178;1;2;0;88;79;9;3.02;1;.898;67
10008;109;109;5;256;1;3;0;178;156;22;5.15;0;.876;55
10088;113;113;2;89;1;1;0;44;36;8;5.38;0;.818;42
10126;104;104;3;180;3;0;0;74;66;8;2.67;0;.892;59
