PlayerId;Year;TeamId;LeagueId;GP;Min;W;L;T/OL;ENG;SO;GA;SA;GR
144;2022;18;0;37;125365;24;9;1;1;3;79;954;70
144;2021;18;0;46;157411;26;14;4;4;2;123;1370;69
144;2020;59;1;21;67442;5;12;1;2;0;61;734;74
144;2020;18;0;24;87212;11;7;5;1;1;55;743;74
224;2023;23;0;22;73213;11;9;0;0;0;68;731;71
224;2022;30;0;51;174497;33;13;1;1;1;124;1567;75
224;2021;4;0;36;127586;23;9;2;1;4;90;1202;79
224;2020;0;0;40;134550;18;17;3;2;2;113;1282;71
249;2023;21;0;48;165563;22;18;6;5;5;135;1446;68
249;2022;21;0;28;93471;12;12;2;1;0;77;844;69
249;2021;21;0;21;73597;10;6;3;0;0;52;603;70
249;2020;21;0;44;148091;16;20;5;5;1;148;1454;66
683;2023;3;0;47;162267;22;20;2;6;0;152;1786;77
683;2022;3;0;47;164427;21;18;6;3;3;139;1660;76
683;2021;3;0;35;122151;16;11;6;2;0;100;1129;72
683;2020;1;0;67;237425;38;23;4;6;4;171;2254;76
3170;2020;46;1;27;84383;10;11;2;0;1;82;820;66
3214;2020;58;1;10;31710;4;5;0;1;0;28;290;69
3406;2022;31;1;24;78156;7;10;3;1;2;70;643;60
3406;2021;31;1;24;86853;9;9;5;2;0;61;711;71
3406;2020;31;1;32;106141;14;9;5;0;0;103;990;64
